"epidemiological_week","date_d","order_for_place","state","city","city_ibge_code","place_type","last_available_confirmed","last_conf_100k_inhabitants","new_confirmed","last_available_deaths","new_deaths","last_available_death_rate","population_2019","is_last","is_repeated"
38,"2020-09-16",106,"AL","Água Branca",2700102,"city",92,455.536,0,2,0,0.0217,20196,"True","False"
38,"2020-09-16",147,"AL","Anadia",2700201,"city",462,2633.23,0,7,0,0.0152,17545,"True","False"
38,"2020-09-16",152,"AL","Arapiraca",2700300,"city",11110,4794.02,23,136,0,0.0122,231747,"True","False"
38,"2020-09-16",144,"AL","Atalaia",2700409,"city",576,1220.73,0,18,0,0.0312,47185,"True","False"
38,"2020-09-16",147,"AL","Barra de Santo Antônio",2700508,"city",130,815.968,1,10,0,0.0769,15932,"True","False"
38,"2020-09-16",141,"AL","Barra de São Miguel",2700607,"city",143,1718.34,0,5,0,0.035,8322,"True","False"
38,"2020-09-16",141,"AL","Batalha",2700706,"city",553,3033.13,1,7,0,0.0127,18232,"True","False"
38,"2020-09-16",118,"AL","Belém",2700805,"city",52,1197.05,0,1,0,0.0192,4344,"True","False"
38,"2020-09-16",112,"AL","Belo Monte",2700904,"city",142,2118.14,10,3,0,0.0211,6704,"True","False"
38,"2020-09-16",155,"AL","Boca da Mata",2701001,"city",1231,4512.3,0,21,0,0.0171,27281,"True","False"
38,"2020-09-16",141,"AL","Branquinha",2701100,"city",260,2477.61,0,6,0,0.0231,10494,"True","False"
38,"2020-09-16",131,"AL","Cacimbinhas",2701209,"city",255,2348.5,0,3,0,0.0118,10858,"True","False"
38,"2020-09-16",130,"AL","Cajueiro",2701308,"city",290,1363.81,0,12,0,0.0414,21264,"True","False"
38,"2020-09-16",133,"AL","Campestre",2701357,"city",94,1355.25,0,3,0,0.0319,6936,"True","False"
38,"2020-09-16",139,"AL","Campo Alegre",2701407,"city",1330,2330.76,3,28,0,0.0211,57063,"True","False"
38,"2020-09-16",134,"AL","Campo Grande",2701506,"city",193,2019.25,0,5,0,0.0259,9558,"True","False"
38,"2020-09-16",132,"AL","Canapi",2701605,"city",64,361.133,0,3,0,0.0469,17722,"True","False"
38,"2020-09-16",149,"AL","Capela",2701704,"city",512,3002.4,0,6,0,0.0117,17053,"True","False"
38,"2020-09-16",125,"AL","Carneiros",2701803,"city",83,913.996,0,2,0,0.0241,9081,"True","False"
