epidemiological_week,date_d,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_conf_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,population_2019,is_last,is_repeated
38,2020-09-16,145,SP,"Pirapora do Bom Jesus",3539103,city,552,2921.41,0,5,0,0.0091,18895,True,False
38,2020-09-16,134,SP,Pirapozinho,3539202,city,691,2510.26,16,11,0,0.0159,27527,True,False
38,2020-09-16,147,SP,Pirassununga,3539301,city,1301,1702.68,27,22,0,0.0169,76409,True,False
38,2020-09-16,155,SP,Piratininga,3539400,city,245,1796.71,1,9,0,0.0367,13636,True,False
38,2020-09-16,147,SP,Pitangueiras,3539509,city,732,1842.95,15,13,0,0.0178,39719,True,False
38,2020-09-16,125,SP,Planalto,3539608,city,162,3093.37,3,1,0,0.0062,5237,True,False
38,2020-09-16,86,SP,Platina,3539707,city,31,873.239,0,0,0,0,3550,True,False
38,2020-09-16,176,SP,Poá,3539806,city,1667,1419.3,11,95,2,0.057,117452,True,False
38,2020-09-16,130,SP,Poloni,3539905,city,70,1155.31,1,2,0,0.0286,6059,True,False
38,2020-09-16,114,SP,Pompéia,3540002,city,121,549.65,4,3,0,0.0248,22014,True,False
38,2020-09-16,72,SP,Pongaí,3540101,city,64,1873.54,1,2,0,0.0312,3416,True,False
38,2020-09-16,156,SP,Pontal,3540200,city,1362,2726.13,8,46,1,0.0338,49961,True,False
38,2020-09-16,118,SP,Pontalinda,3540259,city,62,1339.67,1,3,0,0.0484,4628,True,False
38,2020-09-16,120,SP,"Pontes Gestal",3540309,city,109,4229.72,1,3,0,0.0275,2577,True,False
38,2020-09-16,152,SP,Populina,3540408,city,52,1247.3,1,2,0,0.0385,4169,True,False
38,2020-09-16,133,SP,Porangaba,3540507,city,34,342.569,0,0,0,0,9925,True,False
38,2020-09-16,171,SP,"Porto Feliz",3540606,city,1066,2007.61,4,13,0,0.0122,53098,True,False
38,2020-09-16,160,SP,"Porto Ferreira",3540705,city,1124,2001.78,14,27,0,0.024,56150,True,False
38,2020-09-16,126,SP,Potim,3540754,city,244,990.139,5,4,0,0.0164,24643,True,False
38,2020-09-16,127,SP,Potirendaba,3540804,city,509,2931.86,4,9,0,0.0177,17361,True,False
38,2020-09-16,138,SP,Pracinha,3540853,city,3,73.2959,0,0,0,0,4093,True,False
38,2020-09-16,143,SP,Pradópolis,3540903,city,644,2995.91,2,19,1,0.0295,21496,True,False
38,2020-09-16,169,SP,"Praia Grande",3541000,city,7342,2258.57,12,190,1,0.0259,325073,True,False
38,2020-09-16,155,SP,Pratânia,3541059,city,45,855.351,0,0,0,0,5261,True,False
38,2020-09-16,145,SP,"Presidente Alves",3541109,city,60,1465.56,2,1,0,0.0167,4094,True,False
38,2020-09-16,131,SP,"Presidente Bernardes",3541208,city,190,1449.72,1,6,0,0.0316,13106,True,False
38,2020-09-16,141,SP,"Presidente Epitácio",3541307,city,495,1119.91,19,13,0,0.0263,44200,True,False
38,2020-09-16,162,SP,"Presidente Prudente",3541406,city,3881,1696.66,87,106,1,0.0273,228743,True,False
38,2020-09-16,164,SP,"Presidente Venceslau",3541505,city,400,1012.25,4,13,0,0.0325,39516,True,False
38,2020-09-16,167,SP,Promissão,3541604,city,1474,3645.63,14,7,0,0.0047,40432,True,False
38,2020-09-16,120,SP,Quadra,3541653,city,10,262.881,0,0,0,0,3804,True,False
38,2020-09-16,149,SP,Quatá,3541703,city,136,963.924,6,4,0,0.0294,14109,True,False
38,2020-09-16,104,SP,Queiroz,3541802,city,24,704.639,0,2,0,0.0833,3406,True,False
38,2020-09-16,87,SP,Queluz,3541901,city,261,1944.86,0,3,0,0.0115,13420,True,False
38,2020-09-16,150,SP,Quintana,3542008,city,54,813.498,1,0,0,0,6638,True,False
38,2020-09-16,104,SP,Rafard,3542107,city,154,1696.78,2,2,0,0.013,9076,True,False
38,2020-09-16,153,SP,Rancharia,3542206,city,742,2497.73,14,12,0,0.0162,29707,True,False
38,2020-09-16,104,SP,"Redenção da Serra",3542305,city,17,441.444,0,0,0,0,3851,True,False
38,2020-09-16,142,SP,"Regente Feijó",3542404,city,100,493.559,3,3,0,0.03,20261,True,False
38,2020-09-16,134,SP,Reginópolis,3542503,city,32,332.606,0,1,0,0.0312,9621,True,False
38,2020-09-16,153,SP,Registro,3542602,city,1414,2510.56,7,33,1,0.0233,56322,True,False
38,2020-09-16,83,SP,Restinga,3542701,city,42,553.141,1,0,0,0,7593,True,False
38,2020-09-16,98,SP,Ribeira,3542800,city,33,988.024,0,0,0,0,3340,True,False
38,2020-09-16,117,SP,"Ribeirão Bonito",3542909,city,172,1301.16,4,2,0,0.0116,13219,True,False
38,2020-09-16,142,SP,"Ribeirão Branco",3543006,city,217,1319.63,4,4,0,0.0184,16444,True,False
38,2020-09-16,29,SP,"Ribeirão Corrente",3543105,city,35,741.84,0,1,0,0.0286,4718,True,False
38,2020-09-16,127,SP,"Ribeirão dos Índios",3543238,city,17,764.045,0,3,0,0.1765,2225,True,False
38,2020-09-16,104,SP,"Ribeirão do Sul",3543204,city,28,616.604,0,1,0,0.0357,4541,True,False
38,2020-09-16,127,SP,"Ribeirão Grande",3543253,city,79,1029.58,0,1,0,0.0127,7673,True,False
38,2020-09-16,176,SP,"Ribeirão Pires",3543303,city,1261,1021.94,5,59,1,0.0468,123393,True,False
38,2020-09-16,175,SP,"Ribeirão Preto",3543402,city,19944,2835.8,146,670,5,0.0336,703293,True,False
38,2020-09-16,90,SP,Rifaina,3543600,city,47,1295.12,0,2,0,0.0426,3629,True,False
38,2020-09-16,156,SP,Rincão,3543709,city,98,907.491,0,4,0,0.0408,10799,True,False
38,2020-09-16,155,SP,Rinópolis,3543808,city,61,611.161,7,0,0,0,9981,True,False
38,2020-09-16,176,SP,"Rio Claro",3543907,city,3816,1848.62,18,121,0,0.0317,206424,True,False
38,2020-09-16,141,SP,"Rio das Pedras",3544004,city,663,1882.03,1,36,0,0.0543,35228,True,False
38,2020-09-16,163,SP,"Rio Grande da Serra",3544103,city,638,1254.77,11,25,1,0.0392,50846,True,False
38,2020-09-16,121,SP,Riolândia,3544202,city,310,2476.43,1,2,0,0.0065,12518,True,False
38,2020-09-16,85,SP,Riversul,3543501,city,18,325.851,0,1,0,0.0556,5524,True,False
38,2020-09-16,121,SP,Rosana,3544251,city,123,739.049,1,2,0,0.0163,16643,True,False
38,2020-09-16,126,SP,Roseira,3544301,city,189,1764.38,1,2,0,0.0106,10712,True,False
38,2020-09-16,127,SP,Rubiácea,3544400,city,35,1118.93,-1,0,0,0,3128,True,False
38,2020-09-16,74,SP,Rubinéia,3544509,city,61,1937.74,4,2,0,0.0328,3148,True,False
38,2020-09-16,100,SP,Sabino,3544608,city,35,626.118,0,4,0,0.1143,5590,True,False
38,2020-09-16,124,SP,Sagres,3544707,city,6,246.711,0,0,0,0,2432,True,False
38,2020-09-16,121,SP,Sales,3544806,city,60,947.718,3,2,0,0.0333,6331,True,False
38,2020-09-16,121,SP,"Sales Oliveira",3544905,city,356,2994.11,37,4,0,0.0112,11890,True,False
38,2020-09-16,147,SP,Salesópolis,3545001,city,187,1091.08,1,10,0,0.0535,17139,True,False
38,2020-09-16,89,SP,Salmourão,3545100,city,8,150.943,0,0,0,0,5300,True,False
38,2020-09-16,141,SP,Saltinho,3545159,city,107,1291.33,1,2,0,0.0187,8286,True,False
38,2020-09-16,163,SP,Salto,3545209,city,2470,2081.52,25,47,1,0.019,118663,True,False
38,2020-09-16,170,SP,"Salto de Pirapora",3545308,city,877,1930.78,11,20,1,0.0228,45422,True,False
38,2020-09-16,140,SP,"Salto Grande",3545407,city,57,610.867,1,1,0,0.0175,9331,True,False
38,2020-09-16,79,SP,Sandovalina,3545506,city,43,999.535,2,1,0,0.0233,4302,True,False
38,2020-09-16,122,SP,"Santa Adélia",3545605,city,301,1944.44,6,4,0,0.0133,15480,True,False
38,2020-09-16,89,SP,"Santa Albertina",3545704,city,142,2363.52,1,0,0,0,6008,True,False
38,2020-09-16,160,SP,"Santa Bárbara d'Oeste",3545803,city,5003,2585.86,84,155,4,0.031,193475,True,False
38,2020-09-16,166,SP,"Santa Branca",3546009,city,183,1237.49,3,5,0,0.0273,14788,True,False
38,2020-09-16,127,SP,"Santa Clara d'Oeste",3546108,city,45,2127.66,3,3,0,0.0667,2115,True,False
38,2020-09-16,145,SP,"Santa Cruz da Conceição",3546207,city,110,2442.82,3,0,0,0,4503,True,False
38,2020-09-16,133,SP,"Santa Cruz da Esperança",3546256,city,13,607.761,0,1,0,0.0769,2139,True,False
38,2020-09-16,135,SP,"Santa Cruz das Palmeiras",3546306,city,1392,4051.1,1,17,1,0.0122,34361,True,False
38,2020-09-16,164,SP,"Santa Cruz do Rio Pardo",3546405,city,713,1495.61,4,5,0,0.007,47673,True,False
38,2020-09-16,98,SP,"Santa Ernestina",3546504,city,136,2429.01,3,1,0,0.0074,5599,True,False
38,2020-09-16,143,SP,"Santa Fé do Sul",3546603,city,842,2605.04,12,29,0,0.0344,32322,True,False
38,2020-09-16,154,SP,"Santa Gertrudes",3546702,city,853,3171.24,0,14,0,0.0164,26898,True,False
38,2020-09-16,170,SP,"Santa Isabel",3546801,city,1168,2035.34,8,68,1,0.0582,57386,True,False
38,2020-09-16,159,SP,"Santa Lúcia",3546900,city,45,510.378,0,2,0,0.0444,8817,True,False
38,2020-09-16,140,SP,"Santa Maria da Serra",3547007,city,109,1765.75,3,1,0,0.0092,6173,True,False
38,2020-09-16,67,SP,"Santa Mercedes",3547106,city,8,272.201,1,1,0,0.125,2939,True,False
38,2020-09-16,113,SP,"Santana da Ponte Pensa",3547205,city,11,739.744,0,0,0,0,1487,True,False
38,2020-09-16,194,SP,"Santana de Parnaíba",3547304,city,3000,2151.35,25,95,1,0.0317,139447,True,False
38,2020-09-16,69,SP,"Santa Rita d'Oeste",3547403,city,24,960.769,-1,0,0,0,2498,True,False
38,2020-09-16,147,SP,"Santa Rita do Passa Quatro",3547502,city,258,936.241,8,8,0,0.031,27557,True,False
38,2020-09-16,116,SP,"Santa Rosa de Viterbo",3547601,city,189,712.133,4,2,0,0.0106,26540,True,False
38,2020-09-16,119,SP,"Santa Salete",3547650,city,46,2977.35,1,1,0,0.0217,1545,True,False
38,2020-09-16,134,SP,"Santo Anastácio",3547700,city,198,948.367,10,9,0,0.0455,20878,True,False
38,2020-09-16,185,SP,"Santo André",3547809,city,16084,2237.7,145,579,1,0.036,718773,True,False
38,2020-09-16,153,SP,"Santo Antônio da Alegria",3547908,city,48,692.741,6,3,0,0.0625,6929,True,False
38,2020-09-16,142,SP,"Santo Antônio de Posse",3548005,city,502,2153.58,7,5,0,0.01,23310,True,False
38,2020-09-16,145,SP,"Santo Antônio do Aracanguá",3548054,city,150,1781.47,1,6,0,0.04,8420,True,False
38,2020-09-16,132,SP,"Santo Antônio do Jardim",3548104,city,69,1158.88,1,2,0,0.029,5954,True,False
38,2020-09-16,145,SP,"Santo Antônio do Pinhal",3548203,city,67,983.703,4,3,0,0.0448,6811,True,False
38,2020-09-16,128,SP,"Santo Expedito",3548302,city,14,450.016,0,0,0,0,3111,True,False
38,2020-09-16,120,SP,"Santópolis do Aguapeí",3548401,city,55,1151.35,9,1,0,0.0182,4777,True,False
38,2020-09-16,171,SP,Santos,3548500,city,20437,4716.47,157,601,3,0.0294,433311,True,False
38,2020-09-16,125,SP,"São Bento do Sapucaí",3548609,city,50,459.643,0,0,0,0,10878,True,False
38,2020-09-16,185,SP,"São Bernardo do Campo",3548708,city,23701,2825.13,137,853,1,0.036,838936,True,False
38,2020-09-16,185,SP,"São Caetano do Sul",3548807,city,4276,2653.81,75,185,2,0.0433,161127,True,False
38,2020-09-16,164,SP,"São Carlos",3548906,city,2479,983.797,4,42,0,0.0169,251983,True,False
38,2020-09-16,105,SP,"São Francisco",3549003,city,62,2197.8,5,4,0,0.0645,2821,True,False
38,2020-09-16,161,SP,"São João da Boa Vista",3549102,city,607,665.49,42,17,0,0.028,91211,True,False
38,2020-09-16,127,SP,"São João das Duas Pontes",3549201,city,71,2764.8,0,3,0,0.0423,2568,True,False
38,2020-09-16,103,SP,"São João de Iracema",3549250,city,42,2185.22,2,1,0,0.0238,1922,True,False
38,2020-09-16,126,SP,"São João do Pau d'Alho",3549300,city,3,142.518,0,0,0,0,2105,True,False
38,2020-09-16,154,SP,"São Joaquim da Barra",3549409,city,903,1740.29,10,19,0,0.021,51888,True,False
38,2020-09-16,113,SP,"São José da Bela Vista",3549508,city,42,470.43,1,4,0,0.0952,8928,True,False
38,2020-09-16,47,SP,"São José do Barreiro",3549607,city,20,482.276,0,2,0,0.1,4147,True,False
38,2020-09-16,170,SP,"São José do Rio Pardo",3549706,city,406,738.907,43,18,0,0.0443,54946,True,False
38,2020-09-16,183,SP,"São José do Rio Preto",3549805,city,19719,4280.5,156,542,2,0.0275,460671,True,False
38,2020-09-16,183,SP,"São José dos Campos",3549904,city,15545,2153.21,310,393,4,0.0253,721944,True,False
38,2020-09-16,149,SP,"São Lourenço da Serra",3549953,city,201,1270.14,-1,6,0,0.0299,15825,True,False
38,2020-09-16,133,SP,"São Luiz do Paraitinga",3550001,city,17,159.072,0,5,0,0.2941,10687,True,False
38,2020-09-16,166,SP,"São Manuel",3550100,city,279,681.252,0,9,0,0.0323,40954,True,False
