"city";"city_ibge_code";"date";"epidemiological_week";"estimated_population";"estimated_population_2019";"is_last";"is_repeated";"last_available_confirmed";"last_available_confirmed_per_100k_inhabitants";"last_available_date";"last_available_death_rate";"last_available_deaths";"order_for_place";"place_type";"state";"new_confirmed";"new_deaths"
"Acrelândia";1200013.0;"2021-04-12";202115;15490.0;15256.0;"False";"True";1378;8896.06198;"2021-04-11";0.0167;23;380;"city";"AC";0;0
"Assis Brasil";1200054.0;"2021-04-12";202115;7534.0;7417.0;"False";"True";1363;18091.31935;"2021-04-11";0.0139;19;347;"city";"AC";0;0
"Brasiléia";1200104.0;"2021-04-12";202115;26702.0;26278.0;"False";"True";2203;8250.31833;"2021-04-11";0.0136;30;339;"city";"AC";0;0
"Bujari";1200138.0;"2021-04-12";202115;10420.0;10266.0;"False";"True";1003;9625.71977;"2021-04-11";0.012;12;370;"city";"AC";0;0
"Capixaba";1200179.0;"2021-04-12";202115;12008.0;11733.0;"False";"True";492;4097.2684899999995;"2021-04-11";0.0264;13;340;"city";"AC";0;0
"Cruzeiro do Sul";1200203.0;"2021-04-12";202115;89072.0;88376.0;"False";"True";7034;7896.98222;"2021-04-11";0.0198;139;365;"city";"AC";0;0
"Epitaciolândia";1200252.0;"2021-04-12";202115;18696.0;18411.0;"False";"True";1164;6225.9306799999995;"2021-04-11";0.0215;25;341;"city";"AC";0;0
"Feijó";1200302.0;"2021-04-12";202115;34884.0;34780.0;"False";"True";2511;7198.1424099999995;"2021-04-11";0.0183;46;346;"city";"AC";0;0
"Jordão";1200328.0;"2021-04-12";202115;8473.0;8317.0;"False";"True";364;4295.99906;"2021-04-11";0.0027;1;330;"city";"AC";0;0
"Manoel Urbano";1200344.0;"2021-04-12";202115;9581.0;9459.0;"False";"True";850;8871.72529;"2021-04-11";0.0094;8;335;"city";"AC";0;0
"Marechal Thaumaturgo";1200351.0;"2021-04-12";202115;19299.0;18867.0;"False";"True";1047;5425.15156;"2021-04-11";0.0076;8;336;"city";"AC";0;0
"Mâncio Lima";1200336.0;"2021-04-12";202115;19311.0;18977.0;"False";"True";1788;9258.97157;"2021-04-11";0.0117;21;349;"city";"AC";0;0
"Plácido de Castro";1200385.0;"2021-04-12";202115;19955.0;19761.0;"False";"True";1381;6920.571290000001;"2021-04-11";0.0094;13;372;"city";"AC";0;0
"Porto Acre";1200807.0;"2021-04-12";202115;18824.0;18504.0;"False";"True";1246;6619.20952;"2021-04-11";0.0241;30;380;"city";"AC";0;0
"Porto Walter";1200393.0;"2021-04-12";202115;12241.0;11982.0;"False";"True";486;3970.26387;"2021-04-11";0.0041;2;335;"city";"AC";0;0
"Rio Branco";1200401.0;"2021-04-12";202115;413418.0;407319.0;"False";"True";33229;8037.62778;"2021-04-11";0.0246;819;392;"city";"AC";0;0
"Rodrigues Alves";1200427.0;"2021-04-12";202115;19351.0;18930.0;"False";"True";652;3369.3349200000002;"2021-04-11";0.0153;10;336;"city";"AC";0;0
"Santa Rosa do Purus";1200435.0;"2021-04-12";202115;6717.0;6540.0;"False";"True";702;10451.09424;"2021-04-11";0.0057;4;340;"city";"AC";0;0
"Sena Madureira";1200500.0;"2021-04-12";202115;46511.0;45848.0;"False";"True";5063;10885.596959999999;"2021-04-11";0.0085;43;344;"city";"AC";0;0
"Senador Guiomard";1200450.0;"2021-04-12";202115;23236.0;23024.0;"False";"True";999;4299.363060000001;"2021-04-11";0.031;31;359;"city";"AC";0;0
"Tarauacá";1200609.0;"2021-04-12";202115;43151.0;42567.0;"False";"True";5770;13371.6484;"2021-04-11";0.0043;25;346;"city";"AC";0;0
"Xapuri";1200708.0;"2021-04-12";202115;19596.0;19323.0;"False";"True";2700;13778.32211;"2021-04-11";0.0078;21;349;"city";"AC";0;0
"";12.0;"2021-04-12";202115;894470.0;881935.0;"True";"False";73613;8229.78971;"2021-04-12";0.0184;1353;392;"state";"AC";188;10
"Anadia";2700201.0;"2021-04-12";202115;17526.0;17545.0;"False";"True";999;5700.1027;"2021-04-11";0.019;19;355;"city";"AL";0;0
"Arapiraca";2700300.0;"2021-04-12";202115;233047.0;231747.0;"False";"True";20001;8582.38896;"2021-04-11";0.0154;308;360;"city";"AL";0;0
"Atalaia";2700409.0;"2021-04-12";202115;47365.0;47185.0;"False";"True";919;1940.2512399999998;"2021-04-11";0.0413;38;352;"city";"AL";0;0
"Barra de Santo Antônio";2700508.0;"2021-04-12";202115;16068.0;15932.0;"False";"True";245;1524.76973;"2021-04-11";0.0694;17;355;"city";"AL";0;0
"Barra de São Miguel";2700607.0;"2021-04-12";202115;8378.0;8322.0;"False";"True";293;3497.25471;"2021-04-11";0.0205;6;349;"city";"AL";0;0
"Batalha";2700706.0;"2021-04-12";202115;18338.0;18232.0;"False";"True";838;4569.7458799999995;"2021-04-11";0.0179;15;349;"city";"AL";0;0
"Belo Monte";2700904.0;"2021-04-12";202115;6710.0;6704.0;"False";"True";233;3472.4292100000002;"2021-04-11";0.0258;6;320;"city";"AL";0;0
"Belém";2700805.0;"2021-04-12";202115;4284.0;4344.0;"False";"True";88;2054.155;"2021-04-11";0.0341;3;326;"city";"AL";0;0
"Boca da Mata";2701001.0;"2021-04-12";202115;27356.0;27281.0;"False";"True";1489;5443.04723;"2021-04-11";0.0235;35;363;"city";"AL";0;0
"Branquinha";2701100.0;"2021-04-12";202115;10460.0;10494.0;"False";"True";420;4015.2963700000005;"2021-04-11";0.0214;9;349;"city";"AL";0;0
"Cacimbinhas";2701209.0;"2021-04-12";202115;10889.0;10858.0;"False";"True";467;4288.73175;"2021-04-11";0.0128;6;339;"city";"AL";0;0
"Cajueiro";2701308.0;"2021-04-12";202115;21331.0;21264.0;"False";"True";469;2198.67798;"2021-04-11";0.0384;18;338;"city";"AL";0;0
"Campestre";2701357.0;"2021-04-12";202115;6954.0;6936.0;"False";"True";231;3321.8291600000002;"2021-04-11";0.026000000000000002;6;341;"city";"AL";0;0
"Campo Alegre";2701407.0;"2021-04-12";202115;57537.0;57063.0;"False";"True";2342;4070.42425;"2021-04-11";0.0243;57;347;"city";"AL";0;0
"Campo Grande";2701506.0;"2021-04-12";202115;9567.0;9558.0;"False";"True";356;3721.1247;"2021-04-11";0.0225;8;342;"city";"AL";0;0
"Canapi";2701605.0;"2021-04-12";202115;17719.0;17722.0;"False";"True";134;756.25035;"2021-04-11";0.0448;6;340;"city";"AL";0;0
"Capela";2701704.0;"2021-04-12";202115;16979.0;17053.0;"False";"True";675;3975.49915;"2021-04-11";0.0133;9;357;"city";"AL";0;0
"Carneiros";2701803.0;"2021-04-12";202115;9159.0;9081.0;"False";"True";174;1899.77072;"2021-04-11";0.0345;6;333;"city";"AL";0;0
"Chã Preta";2701902.0;"2021-04-12";202115;7311.0;7311.0;"False";"True";190;2598.8236899999997;"2021-04-11";0.0158;3;321;"city";"AL";0;0
"Coité do Nóia";2702009.0;"2021-04-12";202115;10643.0;10693.0;"False";"True";322;3025.46275;"2021-04-11";0.0311;10;341;"city";"AL";0;0
"Colônia Leopoldina";2702108.0;"2021-04-12";202115;21818.0;21698.0;"False";"True";297;1361.26134;"2021-04-11";0.0471;14;347;"city";"AL";0;0
"Coqueiro Seco";2702207.0;"2021-04-12";202115;5864.0;5845.0;"False";"True";363;6190.3137799999995;"2021-04-11";0.0165;6;346;"city";"AL";0;0
"Coruripe";2702306.0;"2021-04-12";202115;57294.0;56933.0;"False";"True";2988;5215.205779999999;"2021-04-11";0.0127;38;349;"city";"AL";0;0
"Craíbas";2702355.0;"2021-04-12";202115;24309.0;24219.0;"False";"True";950;3908.0176100000003;"2021-04-11";0.0168;16;339;"city";"AL";0;0
"Delmiro Gouveia";2702405.0;"2021-04-12";202115;52262.0;52016.0;"False";"True";2531;4842.90689;"2021-04-11";0.0249;63;354;"city";"AL";0;0
"Dois Riachos";2702504.0;"2021-04-12";202115;11067.0;11075.0;"False";"True";480;4337.21876;"2021-04-11";0.0104;5;332;"city";"AL";0;0
