location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,daily_vaccinations_per_million
Argentina,ARG,2021-04-26,7214704.0,6341959.0,872745.0,79755.0,125736.0,15.96,14.03,1.93,2782.0
Aruba,ABW,2021-04-26,73360.0,53244.0,20116.0,257.0,2169.0,68.71,49.87,18.84,20315.0
Australia,AUS,2021-04-26,1937485.0,,,3408.0,50133.0,7.6,,,1966.0
Austria,AUT,2021-04-26,2863389.0,2076888.0,786519.0,29004.0,47369.0,31.79,23.06,8.73,5259.0
Azerbaijan,AZE,2021-04-26,1423660.0,939460.0,484200.0,365.0,12326.0,14.04,9.27,4.78,1216.0
Bahrain,BHR,2021-04-26,1193039.0,667979.0,525060.0,12304.0,13670.0,70.11,39.26,30.86,8034.0
Barbados,BRB,2021-04-26,73677.0,73677.0,,87.0,399.0,25.64,25.64,,1388.0
Belgium,BEL,2021-04-26,3529655.0,2771726.0,757929.0,55916.0,57701.0,30.46,23.92,6.54,4979.0
Bermuda,BMU,2021-04-26,55904.0,32129.0,23775.0,,510.0,89.77,51.59,38.18,8190.0
Bhutan,BTN,2021-04-26,480035.0,480035.0,,349.0,165.0,62.21,62.21,,214.0
Bolivia,BOL,2021-04-26,688654.0,490495.0,198159.0,28044.0,18751.0,5.9,4.2,1.7,1606.0
Bosnia and Herzegovina,BIH,2021-04-26,,63376.0,,,,,1.93,,
Brazil,BRA,2021-04-26,38986878.0,27345796.0,11641082.0,959765.0,747378.0,18.34,12.87,5.48,3516.0
Bulgaria,BGR,2021-04-26,734150.0,564282.0,169868.0,10910.0,12666.0,10.57,8.12,2.44,1823.0
Cambodia,KHM,2021-04-26,2073616.0,1295973.0,777643.0,45648.0,59656.0,12.4,7.75,4.65,3568.0
Canada,CAN,2021-04-26,12307785.0,11280635.0,1027150.0,262744.0,294910.0,32.61,29.89,2.72,7814.0
Cayman Islands,CYM,2021-04-26,65383.0,35307.0,30076.0,,370.0,99.49,53.72,45.76,5630.0
Chile,CHL,2021-04-26,14324489.0,7995746.0,6328743.0,189030.0,136442.0,74.93,41.83,33.11,7138.0
China,CHN,2021-04-26,229489000.0,,,4588000.0,4923857.0,15.94,,,3421.0
Colombia,COL,2021-04-26,,,,,89448.0,,,,1758.0
Costa Rica,CRI,2021-04-26,818884.0,538682.0,280202.0,,17222.0,16.08,10.57,5.5,3381.0
Cote d'Ivoire,CIV,2021-04-26,119663.0,119663.0,,788.0,3059.0,0.45,0.45,,116.0
Croatia,HRV,2021-04-26,798717.0,629108.0,169609.0,3120.0,14384.0,19.46,15.32,4.13,3504.0
Curacao,CUW,2021-04-26,86781.0,68723.0,18058.0,2065.0,2574.0,52.88,41.88,11.0,15686.0
Czechia,CZE,2021-04-26,2882966.0,1928516.0,955264.0,54825.0,49305.0,26.92,18.01,8.92,4604.0
Denmark,DNK,2021-04-26,1840568.0,1253839.0,586729.0,39011.0,31898.0,31.78,21.65,10.13,5507.0
El Salvador,SLV,2021-04-26,745602.0,718089.0,27513.0,,28291.0,11.5,11.07,0.42,4362.0
England,OWID_ENG,2021-04-26,39398398.0,28356779.0,11041619.0,317251.0,421514.0,70.0,50.38,19.62,7489.0
Estonia,EST,2021-04-26,411580.0,311731.0,99849.0,1095.0,5330.0,31.03,23.5,7.53,4018.0
Faeroe Islands,FRO,2021-04-26,18294.0,12748.0,5546.0,,526.0,37.44,26.09,11.35,10764.0
Finland,FIN,2021-04-26,,,,,35536.0,,,,6414.0
France,FRA,2021-04-26,20014256.0,14316501.0,5702509.0,358050.0,357311.0,29.37,21.01,8.37,5243.0
Georgia,GEO,2021-04-26,38553.0,38553.0,,,1192.0,0.97,0.97,,299.0
Germany,DEU,2021-04-26,25892613.0,19854550.0,6038063.0,402700.0,491080.0,30.9,23.7,7.21,5861.0
Gibraltar,GIB,2021-04-26,,,,,264.0,,,,7836.0
Greece,GRC,2021-04-26,2883199.0,2032090.0,851109.0,,48149.0,27.66,19.5,8.17,4619.0
Greenland,GRL,2021-04-26,13108.0,8810.0,4298.0,,305.0,23.09,15.52,7.57,5372.0
