city,city_ibge_code,date,epidemiological_week,estimated_population_2019,is_last,is_repeated,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,last_available_date,last_available_death_rate,last_available_deaths,order_for_place,place_type,state,new_confirmed,new_deaths
São Paulo,3550308.0,2020-08-18,34,12252023.0,False,True,236163,1927.5429,2020-08-17,0.045,10625,176,city,SP,0,0
Brasília,5300108.0,2020-08-18,34,3015268.0,False,True,120321,3990.3915700000002,2020-08-16,0.015,1807,165,city,DF,0,0
Rio de Janeiro,3304557.0,2020-08-18,34,6718903.0,False,True,80899,1204.05072,2020-08-17,0.1091,8830,166,city,RJ,0,0
Salvador,2927408.0,2020-08-18,34,2872347.0,False,True,68087,2370.43087,2020-08-17,0.0319,2174,159,city,BA,0,0
Fortaleza,2304400.0,2020-08-18,34,2669342.0,False,True,44974,1684.83469,2020-08-17,0.0836,3758,156,city,CE,0,0
Manaus,1302603.0,2020-08-18,34,2182763.0,False,True,39563,1812.51927,2020-08-17,0.0546,2159,159,city,AM,0,0
Aracaju,2800308.0,2020-08-18,34,657013.0,False,True,31777,4836.58619,2020-08-17,0.0201,640,158,city,SE,0,0
Boa Vista,1400100.0,2020-08-18,34,399213.0,False,True,29978,7509.2745,2020-08-17,0.0148,444,151,city,RR,0,0
Recife,2611606.0,2020-08-18,34,1645727.0,False,True,29718,1805.7673,2020-08-17,0.0747,2220,160,city,PE,0,0
Belém,1501402.0,2020-08-18,34,1492745.0,False,True,29262,1960.28123,2020-08-17,0.0709,2074,154,city,PA,0,0
Belo Horizonte,3106200.0,2020-08-18,34,2512070.0,False,True,28462,1133.00983,2020-08-17,0.0284,808,156,city,MG,0,0
Goiânia,5208707.0,2020-08-18,34,1516113.0,False,True,26216,1729.1587100000002,2020-08-17,0.0246,645,160,city,GO,0,0
Porto Velho,1100205.0,2020-08-18,34,529544.0,False,True,25006,4722.17606,2020-08-17,0.0243,608,151,city,RO,0,0
Maceió,2704302.0,2020-08-18,34,1018948.0,False,True,24909,2444.5801,2020-08-17,0.0322,803,164,city,AL,0,0
João Pessoa,2507507.0,2020-08-18,34,809015.0,False,True,24597,3040.3639,2020-08-17,0.031,762,154,city,PB,0,0
Curitiba,4106902.0,2020-08-18,34,1933105.0,False,True,24166,1250.1131599999999,2020-08-17,0.0341,823,160,city,PR,0,0
Campinas,3509502.0,2020-08-18,34,1204073.0,False,True,23825,1978.70063,2020-08-17,0.037000000000000005,882,154,city,SP,0,0
Teresina,2211001.0,2020-08-18,34,864845.0,False,True,22102,2555.60245,2020-08-17,0.0377,833,153,city,PI,0,0
Natal,2408102.0,2020-08-18,34,884122.0,False,True,22046,2493.54727,2020-08-10,0.0395,871,160,city,RN,0,0
São Bernardo do Campo,3548708.0,2020-08-18,34,838936.0,False,True,19628,2339.6302,2020-08-17,0.0362,711,156,city,SP,0,0
Santos,3548500.0,2020-08-18,34,433311.0,False,True,18420,4250.98832,2020-08-17,0.0289,533,142,city,SP,0,0
Parauapebas,1505536.0,2020-08-18,34,208273.0,False,True,18087,8684.27497,2020-08-17,0.0085,154,144,city,PA,0,0
São Luís,2111300.0,2020-08-18,34,1101884.0,False,True,17658,1602.5280300000002,2020-08-17,0.067,1183,152,city,MA,0,0
Uberlândia,3170206.0,2020-08-18,34,691305.0,False,True,16371,2368.12984,2020-08-17,0.0183,300,155,city,MG,0,0
Macapá,1600303.0,2020-08-18,34,503327.0,False,True,16229,3224.34521,2020-08-17,0.0256,416,152,city,AP,0,0
Importados/Indefinidos,,2020-08-18,34,,False,True,16146,,2020-08-16,0.0105,169,146,city,DF,0,0
Campo Grande,5002704.0,2020-08-18,34,895982.0,False,True,15448,1724.1417800000002,2020-08-14,0.0146,226,158,city,MS,0,0
Aparecida de Goiânia,5201405.0,2020-08-18,34,578179.0,False,True,15342,2653.5035,2020-08-17,0.018000000000000002,276,154,city,GO,0,0
Guarulhos,3518800.0,2020-08-18,34,1379182.0,False,True,14666,1063.38395,2020-08-17,0.0783,1149,155,city,SP,0,0
