epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202205,2022-01-30,685,AC,,12,state,98149,10972.86661,320,1868,2,0.019,894470,False,False
202205,2022-01-30,607,AL,Água Branca,2700102,city,695,3435.49184,1,25,0,0.036,20230,True,False
202205,2022-01-30,648,AL,Anadia,2700201,city,1587,9055.11811,4,35,0,0.0221,17526,True,False
202205,2022-01-30,653,AL,Arapiraca,2700300,city,32098,13773.18738,166,538,0,0.0168,233047,True,False
202205,2022-01-30,645,AL,Atalaia,2700409,city,1522,3213.34319,50,55,0,0.0361,47365,True,False
202205,2022-01-30,648,AL,Barra de Santo Antônio,2700508,city,534,3323.37565,0,33,0,0.0618,16068,True,False
202205,2022-01-30,642,AL,Barra de São Miguel,2700607,city,812,9692.05061,14,8,0,0.0099,8378,True,False
202205,2022-01-30,642,AL,Batalha,2700706,city,1173,6396.5536,0,20,0,0.0171,18338,True,False
202205,2022-01-30,619,AL,Belém,2700805,city,160,3734.82726,3,8,0,0.05,4284,True,False
202205,2022-01-30,613,AL,Belo Monte,2700904,city,558,8315.94635,0,9,0,0.0161,6710,True,False
202205,2022-01-30,656,AL,Boca da Mata,2701001,city,2019,7380.46498,1,46,0,0.0228,27356,True,False
202205,2022-01-30,642,AL,Branquinha,2701100,city,832,7954.1109,5,14,0,0.0168,10460,True,False
202205,2022-01-30,632,AL,Cacimbinhas,2701209,city,917,8421.34264,0,12,0,0.0131,10889,True,False
202205,2022-01-30,631,AL,Cajueiro,2701308,city,719,3370.68117,3,31,0,0.0431,21331,True,False
202205,2022-01-30,634,AL,Campestre,2701357,city,266,3825.13661,0,6,0,0.0226,6954,True,False
202205,2022-01-30,640,AL,Campo Alegre,2701407,city,2868,4984.61859,1,77,1,0.0268,57537,True,False
202205,2022-01-30,635,AL,Campo Grande,2701506,city,563,5884.81238,2,11,0,0.0195,9567,True,False
202205,2022-01-30,633,AL,Canapi,2701605,city,451,2545.29037,2,12,0,0.0266,17719,True,False
202205,2022-01-30,650,AL,Capela,2701704,city,1187,6990.98887,2,18,0,0.0152,16979,True,False
202205,2022-01-30,626,AL,Carneiros,2701803,city,387,4225.35211,1,11,0,0.0284,9159,True,False
202205,2022-01-30,614,AL,Chã Preta,2701902,city,406,5553.27589,10,11,0,0.0271,7311,True,False
202205,2022-01-30,634,AL,Coité do Nóia,2702009,city,581,5458.98713,0,21,0,0.0361,10643,True,False
202205,2022-01-30,640,AL,Colônia Leopoldina,2702108,city,440,2016.68347,1,19,0,0.0432,21818,True,False
202205,2022-01-30,639,AL,Coqueiro Seco,2702207,city,531,9055.25239,14,9,0,0.0169,5864,True,False
