date,state,city,place_type,confirmed,deaths,is_last,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2021-12-21,AC,,state,88339,1850,False,894470,12,9876.12776,0.0209
2021-12-21,AL,,state,241911,6381,False,3351543,27,7217.89934,0.0264
2021-12-21,AM,,state,432835,13822,False,4207714,13,10286.702,0.0319
2021-12-21,AP,,state,126309,2010,False,861773,16,14656.876,0.0159
2021-12-21,BA,,state,1264804,27444,False,14930634,29,8471.20089,0.0217
2021-12-21,CE,,state,954018,24760,False,9187103,23,10384.3181,0.026
2021-12-21,DF,Brasília,city,458852,10131,True,3055149,5300108,15018.97289,0.0221
2021-12-21,DF,Importados/Indefinidos,city,59834,959,True,,,,0.016
2021-12-21,DF,,state,518686,11090,False,3055149,53,16977.43711,0.0214
2021-12-21,ES,,state,627447,13289,False,4064052,32,15438.95108,0.0212
2021-12-21,MA,,state,369610,10357,False,7114598,21,5195.09324,0.028
2021-12-21,MG,,state,2217408,56568,False,21292666,31,10413.95192,0.0255
2021-12-21,MT,Acorizal,city,807,22,True,5334,5100102,15129.35883,0.0273
2021-12-21,MT,Água Boa,city,3870,99,True,26204,5100201,14768.7376,0.0256
2021-12-21,MT,Alta Floresta,city,11485,151,True,51959,5100250,22103.96659,0.0131
2021-12-21,MT,Alto Araguaia,city,1642,31,True,19385,5100300,8470.46686,0.0189
2021-12-21,MT,Alto Boa Vista,city,947,19,True,6936,5100359,13653.40254,0.0201
2021-12-21,MT,Alto Garças,city,1158,42,True,12151,5100409,9530.07983,0.0363
2021-12-21,MT,Alto Paraguai,city,929,29,True,11473,5100508,8097.27186,0.0312
2021-12-21,MT,Alto Taquari,city,1656,29,True,11133,5100607,14874.69685,0.0175
2021-12-21,MT,Apiacás,city,2095,18,True,10283,5100805,20373.43188,0.0086
2021-12-21,MT,Araguaiana,city,420,8,True,3109,5101001,13509.16693,0.019
2021-12-21,MT,Araguainha,city,29,1,True,946,5101209,3065.53911,0.0345
2021-12-21,MT,Araputanga,city,2242,56,True,16951,5101258,13226.35833,0.025
2021-12-21,MT,Arenápolis,city,1932,39,True,9502,5101308,20332.56157,0.0202
2021-12-21,MT,Aripuanã,city,3372,49,True,22714,5101407,14845.46975,0.0145
2021-12-21,MT,Barão de Melgaço,city,517,17,True,8164,5101605,6332.68006,0.0329
2021-12-21,MT,Barra do Bugres,city,3705,88,True,35307,5101704,10493.66981,0.0238
2021-12-21,MT,Barra do Garças,city,10622,383,True,61135,5101803,17374.66263,0.0361
2021-12-21,MT,Bom Jesus do Araguaia,city,1099,17,True,6706,5101852,16388.30898,0.0155
2021-12-21,MT,Brasnorte,city,2292,41,True,20140,5101902,11380.33764,0.0179
2021-12-21,MT,Cáceres,city,12097,436,True,94861,5102504,12752.3429,0.036
2021-12-21,MT,Campinápolis,city,1617,47,True,16919,5102603,9557.30244,0.0291
2021-12-21,MT,Campo Novo do Parecis,city,8051,97,True,36143,5102637,22275.40603,0.012
2021-12-21,MT,Campos de Júlio,city,1257,12,True,7070,5102686,17779.34936,0.0095
2021-12-21,MT,Campo Verde,city,6721,148,True,45740,5102678,14693.92217,0.022
2021-12-21,MT,Canabrava do Norte,city,553,13,True,4728,5102694,11696.2775,0.0235
2021-12-21,MT,Canarana,city,3897,76,True,21842,5102702,17841.77273,0.0195
2021-12-21,MT,Carlinda,city,2496,30,True,10199,5102793,24472.98755,0.012
2021-12-21,MT,Castanheira,city,798,29,True,8749,5102850,9121.0424,0.0363
2021-12-21,MT,Chapada dos Guimarães,city,1996,87,True,19453,5103007,10260.62818,0.0436
2021-12-21,MT,Cláudia,city,1883,39,True,12245,5103056,15377.70519,0.0207
2021-12-21,MT,Cocalinho,city,806,16,True,5681,5103106,14187.64302,0.0199
2021-12-21,MT,Colíder,city,5886,149,True,33649,5103205,17492.34747,0.0253
2021-12-21,MT,Colniza,city,3958,82,True,39861,5103254,9929.50503,0.0207
2021-12-21,MT,Comodoro,city,2014,37,True,21008,5103304,9586.82407,0.0184
2021-12-21,MT,Confresa,city,4284,110,True,31510,5103353,13595.68391,0.0257
2021-12-21,MT,Conquista D'Oeste,city,454,17,True,4101,5103361,11070.47062,0.0374
2021-12-21,MT,Cotriguaçu,city,1278,39,True,20238,5103379,6314.85325,0.0305
2021-12-21,MT,Cuiabá,city,114553,3553,True,618124,5103403,18532.36567,0.031
2021-12-21,MT,Curvelândia,city,683,19,True,5241,5103437,13031.86415,0.0278
2021-12-21,MT,Denise,city,649,18,True,9544,5103452,6800.08382,0.0277
2021-12-21,MT,Diamantino,city,2923,62,True,22178,5103502,13179.72766,0.0212
2021-12-21,MT,Dom Aquino,city,790,25,True,8159,5103601,9682.55914,0.0316
2021-12-21,MT,Feliz Natal,city,2084,32,True,14522,5103700,14350.64041,0.0154
2021-12-21,MT,Figueirópolis D'Oeste,city,341,9,True,3452,5103809,9878.3314,0.0264
2021-12-21,MT,Gaúcha do Norte,city,1272,29,True,7782,5103858,16345.41249,0.0228
2021-12-21,MT,General Carneiro,city,842,23,True,5592,5103908,15057.22461,0.0273
2021-12-21,MT,Glória D'Oeste,city,394,13,True,3008,5103957,13098.40426,0.033
2021-12-21,MT,Guarantã do Norte,city,4583,125,True,36130,5104104,12684.74952,0.0273
2021-12-21,MT,Guiratinga,city,805,39,True,15245,5104203,5280.41981,0.0484
2021-12-21,MT,Importados/Indefinidos,city,3427,254,True,,,,0.0741
2021-12-21,MT,Indiavaí,city,279,12,True,2779,5104500,10039.58258,0.043
2021-12-21,MT,Ipiranga do Norte,city,1402,19,True,7920,5104526,17702.0202,0.0136
2021-12-21,MT,Itanhangá,city,1093,14,True,6885,5104542,15875.09078,0.0128
2021-12-21,MT,Itaúba,city,883,29,True,3704,5104559,23839.09287,0.0328
2021-12-21,MT,Itiquira,city,815,16,True,13552,5104609,6013.87249,0.0196
2021-12-21,MT,Jaciara,city,3542,116,True,27807,5104807,12737.79983,0.0327
2021-12-21,MT,Jangada,city,624,22,True,8451,5104906,7383.74157,0.0353
2021-12-21,MT,Jauru,city,815,35,True,8582,5105002,9496.62083,0.0429
2021-12-21,MT,Juara,city,5479,93,True,35121,5105101,15600.35307,0.017
2021-12-21,MT,Juína,city,4701,142,True,41101,5105150,11437.67792,0.0302
2021-12-21,MT,Juruena,city,1499,38,True,16335,5105176,9176.61463,0.0254
2021-12-21,MT,Juscimeira,city,1562,46,True,11176,5105200,13976.37795,0.0294
2021-12-21,MT,Lambari D'Oeste,city,750,14,True,6186,5105234,12124.15131,0.0187
2021-12-21,MT,Lucas do Rio Verde,city,15789,207,True,67620,5105259,23349.60071,0.0131
2021-12-21,MT,Luciara,city,206,7,True,2058,5105309,10009.71817,0.034
2021-12-21,MT,Marcelândia,city,1748,43,True,10301,5105580,16969.22629,0.0246
2021-12-21,MT,Matupá,city,2445,54,True,16793,5105606,14559.63794,0.0221
2021-12-21,MT,Mirassol d'Oeste,city,4282,138,True,27941,5105622,15325.14942,0.0322
2021-12-21,MT,Nobres,city,2221,74,True,15334,5105903,14484.15286,0.0333
2021-12-21,MT,Nortelândia,city,903,26,True,5923,5106000,15245.65254,0.0288
2021-12-21,MT,Nossa Senhora do Livramento,city,1151,40,True,13104,5106109,8783.57753,0.0348
2021-12-21,MT,Nova Bandeirantes,city,1100,26,True,15685,5106158,7013.06981,0.0236
2021-12-21,MT,Nova Brasilândia,city,394,9,True,3805,5106208,10354.79632,0.0228
2021-12-21,MT,Nova Canaã do Norte,city,1656,32,True,12831,5106216,12906.24269,0.0193
2021-12-21,MT,Nova Guarita,city,874,16,True,4464,5108808,19578.85305,0.0183
2021-12-21,MT,Nova Lacerda,city,1047,12,True,6751,5106182,15508.81351,0.0115
2021-12-21,MT,Nova Marilândia,city,415,8,True,3304,5108857,12560.53269,0.0193
2021-12-21,MT,Nova Maringá,city,714,10,True,8850,5108907,8067.79661,0.014
2021-12-21,MT,Nova Monte Verde,city,1861,22,True,9277,5108956,20060.36434,0.0118
2021-12-21,MT,Nova Mutum,city,9437,140,True,46813,5106224,20158.93021,0.0148
2021-12-21,MT,Nova Nazaré,city,388,9,True,3932,5106174,9867.75178,0.0232
2021-12-21,MT,Nova Olímpia,city,1735,73,True,20563,5106232,8437.4848,0.0421
2021-12-21,MT,Nova Santa Helena,city,544,13,True,3737,5106190,14557.13139,0.0239
2021-12-21,MT,Nova Ubiratã,city,1089,26,True,12298,5106240,8855.09839,0.0239
2021-12-21,MT,Nova Xavantina,city,3643,71,True,20944,5106257,17394.00306,0.0195
2021-12-21,MT,Novo Horizonte do Norte,city,473,9,True,4051,5106273,11676.12935,0.019
2021-12-21,MT,Novo Mundo,city,1022,20,True,9363,5106265,10915.30492,0.0196
2021-12-21,MT,Novo Santo Antônio,city,404,6,True,2705,5106315,14935.30499,0.0149
2021-12-21,MT,Novo São Joaquim,city,749,21,True,4938,5106281,15168.08424,0.028
2021-12-21,MT,Paranaíta,city,3192,35,True,11244,5106299,28388.47385,0.011
2021-12-21,MT,Paranatinga,city,3530,82,True,22861,5106307,15441.14431,0.0232
2021-12-21,MT,Pedra Preta,city,1984,66,True,17446,5106372,11372.23432,0.0333
2021-12-21,MT,Peixoto de Azevedo,city,4244,132,True,35338,5106422,12009.73456,0.0311
2021-12-21,MT,Planalto da Serra,city,391,9,True,2649,5106455,14760.2869,0.023
2021-12-21,MT,Poconé,city,3743,86,True,33315,5106505,11235.17935,0.023
2021-12-21,MT,Pontal do Araguaia,city,1130,25,True,6843,5106653,16513.22519,0.0221
2021-12-21,MT,Ponte Branca,city,174,6,True,1550,5106703,11225.80645,0.0345
2021-12-21,MT,Pontes e Lacerda,city,6114,233,True,45774,5106752,13356.92751,0.0381
2021-12-21,MT,Porto Alegre do Norte,city,1024,22,True,12685,5106778,8072.52661,0.0215
2021-12-21,MT,Porto dos Gaúchos,city,756,9,True,5363,5106802,14096.58773,0.0119
2021-12-21,MT,Porto Esperidião,city,1577,58,True,12097,5106828,13036.28999,0.0368
2021-12-21,MT,Porto Estrela,city,473,13,True,2877,5106851,16440.73688,0.0275
2021-12-21,MT,Poxoréu,city,2101,56,True,15916,5107008,13200.5529,0.0267
2021-12-21,MT,Primavera do Leste,city,14972,333,True,63092,5107040,23730.42541,0.0222
2021-12-21,MT,Querência,city,3668,70,True,17937,5107065,20449.3505,0.0191
2021-12-21,MT,Reserva do Cabaçal,city,304,7,True,2743,5107156,11082.75611,0.023
2021-12-21,MT,Ribeirão Cascalheira,city,1494,39,True,10329,5107180,14464.13012,0.0261
2021-12-21,MT,Ribeirãozinho,city,227,12,True,2422,5107198,9372.41949,0.0529
2021-12-21,MT,Rio Branco,city,822,21,True,5150,5107206,15961.16505,0.0255
2021-12-21,MT,Rondolândia,city,344,5,True,4036,5107578,8523.29039,0.0145
2021-12-21,MT,Rondonópolis,city,38577,943,True,236042,5107602,16343.27789,0.0244
2021-12-21,MT,Rosário Oeste,city,1705,56,True,17054,5107701,9997.65451,0.0328
2021-12-21,MT,Salto do Céu,city,272,9,True,3295,5107750,8254.93171,0.0331
2021-12-21,MT,Santa Carmem,city,844,14,True,4563,5107248,18496.60311,0.0166
2021-12-21,MT,Santa Cruz do Xingu,city,455,7,True,2633,5107743,17280.66844,0.0154
2021-12-21,MT,Santa Rita do Trivelato,city,216,4,True,3506,5107768,6160.86708,0.0185
2021-12-21,MT,Santa Terezinha,city,605,15,True,8460,5107776,7151.30024,0.0248
2021-12-21,MT,Santo Afonso,city,333,13,True,3155,5107263,10554.67512,0.039
2021-12-21,MT,Santo Antônio do Leste,city,329,8,True,5334,5107792,6167.979,0.0243
2021-12-21,MT,Santo Antônio do Leverger,city,1394,58,True,16999,5107800,8200.48238,0.0416
2021-12-21,MT,São Félix do Araguaia,city,2175,43,True,11843,5107859,18365.27907,0.0198
