STATE,IBGE_POP,GDP,IDHM,IDHM_Longevidade,IDHM_Educacao,Cars
AC,511107,13751124,0.5860909090909091,0.7665909090909092,0.4522272727272727,87400
AL,2247432,49456362,0.5635,0.7395392156862745,0.44274509803921563,357183
AM,2692087,89017164,0.5651129032258064,0.7655483870967742,0.43693548387096776,394443
AP,522709,14338837,0.6428125,0.7839375000000001,0.5499375,80686
BA,9121262,258649050,0.5924832535885167,0.7577655502392344,0.48073444976076557,1835913
CE,6098608,138378784,0.6166304347826087,0.7613423913043478,0.5521195652173914,1146482
DF,2450634,235497107,0.824,0.873,0.742,1288107
ES,2766250,109226785,0.6921923076923077,0.8257435897435897,0.5913589743589743,961166
GO,5359161,181692438,0.6949837398373984,0.8254878048780487,0.5960731707317073,1844319
MA,4269744,85286228,0.576184331797235,0.7406036866359448,0.4886221198156682,438288
MG,16413877,544633953,0.6678780773739743,0.823810082063306,0.5568276670574444,6182231
MS,2042044,91865808,0.6711012658227848,0.8110506329113923,0.5503544303797469,735684
MT,2410523,123834258,0.684290780141844,0.8173262411347517,0.5769929078014184,724521
PA,5178838,138068005,0.5775069444444445,0.7691041666666667,0.44554861111111116,601799
PB,2806125,59088991,0.58503125,0.7523616071428572,0.47528125,529155
PE,6101331,167289931,0.5930430107526882,0.7515967741935484,0.4879193548387097,1323868
PI,2035523,41405823,0.5710491071428572,0.7495401785714285,0.4566919642857143,362739
PR,8664435,401869414,0.7019249999999999,0.8204474999999999,0.6109775,4438392
RJ,14360314,641438976,0.7087419354838709,0.8163763440860216,0.6200752688172043,4526405
RN,2439640,59660848,0.6108502994011976,0.7627604790419161,0.5164730538922156,549636
RO,1117703,39450586,0.6440384615384616,0.788826923076923,0.5164230769230769,283746
RR,342276,11011452,0.6102000000000001,0.7980666666666667,0.4992,74069
RS,8799920,408645088,0.7092404809619238,0.835376753507014,0.5971022044088177,4319444
SC,4827021,256661194,0.7266881355932203,0.8412237288135593,0.632206779661017,2942198
SE,1496161,38866966,0.5969333333333333,0.7558266666666666,0.4897333333333333,330613
SP,37542683,2040860439,0.7396284829721362,0.8360371517027865,0.6764984520123839,18314825
TO,1071578,31575826,0.6399280575539569,0.7897697841726619,0.5457769784172661,213023
