epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202151,2021-12-22,656,DF,Brasília,5300108,city,458852,15018.97289,0,10131,0,0.0221,3055149,False,True
202151,2021-12-22,637,DF,Importados/Indefinidos,,city,59834,,0,959,0,0.016,,False,True
202151,2021-12-22,592,MT,Acorizal,5100102,city,807,15129.35883,0,22,0,0.0273,5334,False,True
202151,2021-12-22,593,MT,Água Boa,5100201,city,3870,14768.7376,0,99,0,0.0256,26204,False,True
202151,2021-12-22,628,MT,Alta Floresta,5100250,city,11485,22103.96659,0,151,0,0.0131,51959,False,True
202151,2021-12-22,586,MT,Alto Araguaia,5100300,city,1642,8470.46686,0,31,0,0.0189,19385,False,True
202151,2021-12-22,583,MT,Alto Boa Vista,5100359,city,947,13653.40254,0,19,0,0.0201,6936,False,True
202151,2021-12-22,585,MT,Alto Garças,5100409,city,1158,9530.07983,0,42,0,0.0363,12151,False,True
202151,2021-12-22,588,MT,Alto Paraguai,5100508,city,929,8097.27186,0,29,0,0.0312,11473,False,True
202151,2021-12-22,551,MT,Alto Taquari,5100607,city,1656,14874.69685,0,29,0,0.0175,11133,False,True
202151,2021-12-22,554,MT,Apiacás,5100805,city,2095,20373.43188,0,18,0,0.0086,10283,False,True
202151,2021-12-22,545,MT,Araguaiana,5101001,city,420,13509.16693,0,8,0,0.019,3109,False,True
202151,2021-12-22,537,MT,Araguainha,5101209,city,29,3065.53911,0,1,0,0.0345,946,False,True
202151,2021-12-22,571,MT,Araputanga,5101258,city,2242,13226.35833,0,56,0,0.025,16951,False,True
202151,2021-12-22,573,MT,Arenápolis,5101308,city,1932,20332.56157,0,39,0,0.0202,9502,False,True
202151,2021-12-22,626,MT,Aripuanã,5101407,city,3372,14845.46975,0,49,0,0.0145,22714,False,True
202151,2021-12-22,555,MT,Barão de Melgaço,5101605,city,517,6332.68006,0,17,0,0.0329,8164,False,True
202151,2021-12-22,572,MT,Barra do Bugres,5101704,city,3705,10493.66981,0,88,0,0.0238,35307,False,True
202151,2021-12-22,614,MT,Barra do Garças,5101803,city,10622,17374.66263,0,383,0,0.0361,61135,False,True
202151,2021-12-22,582,MT,Bom Jesus do Araguaia,5101852,city,1099,16388.30898,0,17,0,0.0155,6706,False,True
202151,2021-12-22,561,MT,Brasnorte,5101902,city,2292,11380.33764,0,41,0,0.0179,20140,False,True
202151,2021-12-22,626,MT,Cáceres,5102504,city,12097,12752.3429,0,436,0,0.036,94861,False,True
202151,2021-12-22,563,MT,Campinápolis,5102603,city,1617,9557.30244,0,47,0,0.0291,16919,False,True
202151,2021-12-22,628,MT,Campo Novo do Parecis,5102637,city,8051,22275.40603,0,97,0,0.012,36143,False,True
202151,2021-12-22,583,MT,Campos de Júlio,5102686,city,1257,17779.34936,0,12,0,0.0095,7070,False,True
202151,2021-12-22,588,MT,Campo Verde,5102678,city,6721,14693.92217,0,148,0,0.022,45740,False,True
202151,2021-12-22,568,MT,Canabrava do Norte,5102694,city,553,11696.2775,0,13,0,0.0235,4728,False,True
202151,2021-12-22,626,MT,Canarana,5102702,city,3897,17841.77273,0,76,0,0.0195,21842,False,True
202151,2021-12-22,530,MT,Carlinda,5102793,city,2496,24472.98755,0,30,0,0.012,10199,False,True
202151,2021-12-22,552,MT,Castanheira,5102850,city,798,9121.0424,0,29,0,0.0363,8749,False,True
202151,2021-12-22,625,MT,Chapada dos Guimarães,5103007,city,1996,10260.62818,0,87,0,0.0436,19453,False,True
202151,2021-12-22,561,MT,Cláudia,5103056,city,1883,15377.70519,0,39,0,0.0207,12245,False,True
202151,2021-12-22,547,MT,Cocalinho,5103106,city,806,14187.64302,0,16,0,0.0199,5681,False,True
202151,2021-12-22,581,MT,Colíder,5103205,city,5886,17492.34747,0,149,0,0.0253,33649,False,True
202151,2021-12-22,572,MT,Colniza,5103254,city,3958,9929.50503,0,82,0,0.0207,39861,False,True
202151,2021-12-22,573,MT,Comodoro,5103304,city,2014,9586.82407,0,37,0,0.0184,21008,False,True
202151,2021-12-22,609,MT,Confresa,5103353,city,4284,13595.68391,0,110,0,0.0257,31510,False,True
202151,2021-12-22,617,MT,Conquista D'Oeste,5103361,city,454,11070.47062,0,17,0,0.0374,4101,False,True
202151,2021-12-22,594,MT,Cotriguaçu,5103379,city,1278,6314.85325,0,39,0,0.0305,20238,False,True
202151,2021-12-22,643,MT,Cuiabá,5103403,city,114553,18532.36567,0,3553,0,0.031,618124,False,True
202151,2021-12-22,601,MT,Curvelândia,5103437,city,683,13031.86415,0,19,0,0.0278,5241,False,True
202151,2021-12-22,575,MT,Denise,5103452,city,649,6800.08382,0,18,0,0.0277,9544,False,True
202151,2021-12-22,566,MT,Diamantino,5103502,city,2923,13179.72766,0,62,0,0.0212,22178,False,True
202151,2021-12-22,581,MT,Dom Aquino,5103601,city,790,9682.55914,0,25,0,0.0316,8159,False,True
202151,2021-12-22,563,MT,Feliz Natal,5103700,city,2084,14350.64041,0,32,0,0.0154,14522,False,True
202151,2021-12-22,559,MT,Figueirópolis D'Oeste,5103809,city,341,9878.3314,0,9,0,0.0264,3452,False,True
202151,2021-12-22,561,MT,Gaúcha do Norte,5103858,city,1272,16345.41249,0,29,0,0.0228,7782,False,True
202151,2021-12-22,558,MT,General Carneiro,5103908,city,842,15057.22461,0,23,0,0.0273,5592,False,True
202151,2021-12-22,530,MT,Glória D'Oeste,5103957,city,394,13098.40426,0,13,0,0.033,3008,False,True
202151,2021-12-22,585,MT,Guarantã do Norte,5104104,city,4583,12684.74952,0,125,0,0.0273,36130,False,True
202151,2021-12-22,575,MT,Guiratinga,5104203,city,805,5280.41981,0,39,0,0.0484,15245,False,True
202151,2021-12-22,626,MT,Importados/Indefinidos,,city,3427,,0,254,0,0.0741,,False,True
202151,2021-12-22,552,MT,Indiavaí,5104500,city,279,10039.58258,0,12,0,0.043,2779,False,True
202151,2021-12-22,614,MT,Ipiranga do Norte,5104526,city,1402,17702.0202,0,19,0,0.0136,7920,False,True
202151,2021-12-22,573,MT,Itanhangá,5104542,city,1093,15875.09078,0,14,0,0.0128,6885,False,True
202151,2021-12-22,562,MT,Itaúba,5104559,city,883,23839.09287,0,29,0,0.0328,3704,False,True
202151,2021-12-22,567,MT,Itiquira,5104609,city,815,6013.87249,0,16,0,0.0196,13552,False,True
202151,2021-12-22,610,MT,Jaciara,5104807,city,3542,12737.79983,0,116,0,0.0327,27807,False,True
202151,2021-12-22,604,MT,Jangada,5104906,city,624,7383.74157,0,22,0,0.0353,8451,False,True
202151,2021-12-22,583,MT,Jauru,5105002,city,815,9496.62083,0,35,0,0.0429,8582,False,True
202151,2021-12-22,579,MT,Juara,5105101,city,5479,15600.35307,0,93,0,0.017,35121,False,True
202151,2021-12-22,580,MT,Juína,5105150,city,4701,11437.67792,0,142,0,0.0302,41101,False,True
202151,2021-12-22,555,MT,Juruena,5105176,city,1499,9176.61463,0,38,0,0.0254,16335,False,True
202151,2021-12-22,588,MT,Juscimeira,5105200,city,1562,13976.37795,0,46,0,0.0294,11176,False,True
202151,2021-12-22,624,MT,Lambari D'Oeste,5105234,city,750,12124.15131,0,14,0,0.0187,6186,False,True
202151,2021-12-22,630,MT,Lucas do Rio Verde,5105259,city,15789,23349.60071,0,207,0,0.0131,67620,False,True
202151,2021-12-22,580,MT,Luciara,5105309,city,206,10009.71817,0,7,0,0.034,2058,False,True
202151,2021-12-22,579,MT,Marcelândia,5105580,city,1748,16969.22629,0,43,0,0.0246,10301,False,True
202151,2021-12-22,581,MT,Matupá,5105606,city,2445,14559.63794,0,54,0,0.0221,16793,False,True
202151,2021-12-22,614,MT,Mirassol d'Oeste,5105622,city,4282,15325.14942,0,138,0,0.0322,27941,False,True
202151,2021-12-22,589,MT,Nobres,5105903,city,2221,14484.15286,0,74,0,0.0333,15334,False,True
202151,2021-12-22,554,MT,Nortelândia,5106000,city,903,15245.65254,0,26,0,0.0288,5923,False,True
202151,2021-12-22,590,MT,Nossa Senhora do Livramento,5106109,city,1151,8783.57753,0,40,0,0.0348,13104,False,True
202151,2021-12-22,551,MT,Nova Bandeirantes,5106158,city,1100,7013.06981,0,26,0,0.0236,15685,False,True
202151,2021-12-22,556,MT,Nova Brasilândia,5106208,city,394,10354.79632,0,9,0,0.0228,3805,False,True
202151,2021-12-22,553,MT,Nova Canaã do Norte,5106216,city,1656,12906.24269,0,32,0,0.0193,12831,False,True
202151,2021-12-22,575,MT,Nova Guarita,5108808,city,874,19578.85305,0,16,0,0.0183,4464,False,True
202151,2021-12-22,595,MT,Nova Lacerda,5106182,city,1047,15508.81351,0,12,0,0.0115,6751,False,True
202151,2021-12-22,564,MT,Nova Marilândia,5108857,city,415,12560.53269,0,8,0,0.0193,3304,False,True
202151,2021-12-22,572,MT,Nova Maringá,5108907,city,714,8067.79661,0,10,0,0.014,8850,False,True
