epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202114,2021-04-05,373,AC,Acrelândia,1200013,city,1341,8657.19819,0,22,0,0.0164,15490,False,True
202114,2021-04-05,340,AC,Assis Brasil,1200054,city,1342,17812.58296,0,18,0,0.0134,7534,False,True
202114,2021-04-05,332,AC,Brasiléia,1200104,city,2134,7991.91072,0,29,0,0.0136,26702,False,True
202114,2021-04-05,363,AC,Bujari,1200138,city,971,9318.61804,0,12,0,0.0124,10420,False,True
202114,2021-04-05,333,AC,Capixaba,1200179,city,456,3797.46835,0,13,0,0.0285,12008,False,True
202114,2021-04-05,358,AC,Cruzeiro do Sul,1200203,city,6951,7803.79917,0,128,0,0.0184,89072,False,True
202114,2021-04-05,334,AC,Epitaciolândia,1200252,city,1136,6076.16602,0,24,0,0.0211,18696,False,True
202114,2021-04-05,339,AC,Feijó,1200302,city,2429,6963.07763,0,44,0,0.0181,34884,False,True
202114,2021-04-05,323,AC,Jordão,1200328,city,351,4142.57052,0,1,0,0.0028,8473,False,True
202114,2021-04-05,342,AC,Mâncio Lima,1200336,city,1784,9238.25799,0,20,0,0.0112,19311,False,True
202114,2021-04-05,328,AC,Manoel Urbano,1200344,city,835,8715.16543,0,8,0,0.0096,9581,False,True
202114,2021-04-05,329,AC,Marechal Thaumaturgo,1200351,city,1014,5254.15825,0,8,0,0.0079,19299,False,True
202114,2021-04-05,365,AC,Plácido de Castro,1200385,city,1339,6710.09772,0,13,0,0.0097,19955,False,True
202114,2021-04-05,373,AC,Porto Acre,1200807,city,1166,6194.22014,0,30,0,0.0257,18824,False,True
202114,2021-04-05,328,AC,Porto Walter,1200393,city,443,3618.98538,0,2,0,0.0045,12241,False,True
202114,2021-04-05,385,AC,Rio Branco,1200401,city,32329,7819.93043,0,790,0,0.0244,413418,False,True
202114,2021-04-05,329,AC,Rodrigues Alves,1200427,city,608,3141.95649,0,8,0,0.0132,19351,False,True
202114,2021-04-05,333,AC,Santa Rosa do Purus,1200435,city,643,9572.72592,0,4,0,0.0062,6717,False,True
202114,2021-04-05,352,AC,Senador Guiomard,1200450,city,980,4217.59339,0,29,0,0.0296,23236,False,True
202114,2021-04-05,337,AC,Sena Madureira,1200500,city,4817,10356.68982,0,38,0,0.0079,46511,False,True
202114,2021-04-05,339,AC,Tarauacá,1200609,city,5323,12335.7512,0,23,0,0.0043,43151,False,True
202114,2021-04-05,342,AC,Xapuri,1200708,city,2670,13625.22964,0,20,0,0.0075,19596,False,True
202114,2021-04-05,385,AC,,12,state,71330,7974.55476,173,1298,7,0.0182,894470,True,False
202114,2021-04-05,307,AL,Água Branca,2700102,city,266,1314.87889,0,13,0,0.0489,20230,False,True
