"Country","Agricultural Land( %)","Land Area(Km2)","Armed Forces size","Birth Rate","Co2-Emissions","Fertility Rate","Forested Area (%)","Gasoline Price","GDP","Gross primary education enrollment (%)","Gross tertiary education enrollment (%)","Infant mortality","Life expectancy","Maternal mortality ratio","Minimum wage","Official language","Out of pocket health expenditure","Physicians per thousand","Population","Population: Labor force participation (%)","Tax revenue (%)","Total tax rate","Unemployment rate","Urban_population","Latitude","Longitude"
"Afghanistan","58.10%",652230.0,"323000.0",32.49,8672.0,4.47,"2.10%","$0.70 ","$19,101,353,833 ","104.00%","9.70%",47.9,"64.5","638.0","$0.43 ","Pashto","78.40%",0.28,38041754.0,"48.90%","9.30%","71.40%","11.12%",9797273.0,33.93911,67.709953
"Albania","43.10%",28748.0,"9000.0",11.78,4536.0,1.62,"28.10%","$1.36 ","$15,278,077,447 ","107.00%","55.00%",7.8,"78.5","15.0","$1.12 ","Albanian","56.90%",1.2,2854191.0,"55.70%","18.60%","36.60%","12.33%",1747593.0,41.153332,20.168331
"Algeria","17.40%",2381741.0,"317000.0",24.28,150006.0,3.02,"0.80%","$0.28 ","$169,988,236,398 ","109.90%","51.40%",20.1,"76.7","112.0","$0.95 ","Arabic","28.10%",1.72,43053054.0,"41.20%","37.20%","66.10%","11.70%",31510100.0,28.033886,1.659626
"Andorra","40.00%",468.0,"",7.2,469.0,1.27,"34.00%","$1.51 ","$3,154,057,987 ","106.40%","",2.7,"","","$6.63 ","Catalan","36.40%",3.33,77142.0,"","","","",67873.0,42.506285,1.521801
"Angola","47.50%",1246700.0,"117000.0",40.73,34693.0,5.52,"46.30%","$0.97 ","$94,635,415,870 ","113.50%","9.30%",51.6,"60.8","241.0","$0.71 ","Portuguese","33.40%",0.21,31825295.0,"77.50%","9.20%","49.10%","6.89%",21061025.0,-11.202692,17.873887
"Antigua and Barbuda","20.50%",443.0,"0.0",15.33,557.0,1.99,"22.30%","$0.99 ","$1,727,759,259 ","105.00%","24.80%",5.0,"76.9","42.0","$3.04 ","English","24.30%",2.76,97118.0,"","16.50%","43.00%","",23800.0,17.060816,-61.796428
"Argentina","54.30%",2780400.0,"105000.0",17.02,201348.0,2.26,"9.80%","$1.10 ","$449,663,446,954 ","109.70%","90.00%",8.8,"76.5","39.0","$3.35 ","Spanish","17.60%",3.96,44938712.0,"61.30%","10.10%","106.30%","9.79%",41339571.0,-38.416097,-63.616672
"Armenia","58.90%",29743.0,"49000.0",13.99,5156.0,1.76,"11.70%","$0.77 ","$13,672,802,158 ","92.70%","54.60%",11.0,"74.9","26.0","$0.66 ","Armenian","81.60%",4.4,2957731.0,"55.60%","20.90%","22.60%","16.99%",1869848.0,40.069099,45.038189
"Australia","48.20%",7741220.0,"58000.0",12.6,375908.0,1.74,"16.30%","$0.93 ","$1,392,680,589,329 ","100.30%","113.10%",3.1,"82.7","6.0","$13.59 ","","19.60%",3.68,25766605.0,"65.50%","23.00%","47.40%","5.27%",21844756.0,-25.274398,133.775136
"Austria","32.40%",83871.0,"21000.0",9.7,61448.0,1.47,"46.90%","$1.20 ","$446,314,739,528 ","103.10%","85.10%",2.9,"81.6","5.0","","German","17.90%",5.17,8877067.0,"60.70%","25.40%","51.40%","4.67%",5194416.0,47.516231,14.550072
"Azerbaijan","57.70%",86600.0,"82000.0",14.0,37620.0,1.73,"14.10%","$0.56 ","$39,207,000,000 ","99.70%","27.70%",19.2,"72.9","26.0","$0.47 ","Azerbaijani language","78.60%",3.45,10023318.0,"66.50%","13.00%","40.70%","5.51%",5616165.0,40.143105,47.576927
"The Bahamas","1.40%",13880.0,"1000.0",13.97,1786.0,1.75,"51.40%","$0.92 ","$12,827,000,000 ","81.40%","15.10%",8.3,"73.8","70.0","$5.25 ","English","27.80%",1.94,389482.0,"74.60%","14.80%","33.80%","10.36%",323784.0,25.03428,-77.39628
"Bahrain","11.10%",765.0,"19000.0",13.99,31694.0,1.99,"0.80%","$0.43 ","$38,574,069,149 ","99.40%","50.50%",6.1,"77.2","14.0","","Arabic","25.10%",0.93,1501635.0,"73.40%","4.20%","13.80%","0.71%",1467109.0,26.0667,50.5577
"Bangladesh","70.60%",148460.0,"221000.0",18.18,84246.0,2.04,"11.00%","$1.12 ","$302,571,254,131 ","116.50%","20.60%",25.1,"72.3","173.0","$0.51 ","Bengali","71.80%",0.58,167310838.0,"59.00%","8.80%","33.40%","4.19%",60987417.0,23.684994,90.356331
"Barbados","23.30%",430.0,"1000.0",10.65,1276.0,1.62,"14.70%","$1.81 ","$5,209,000,000 ","99.40%","65.40%",11.3,"79.1","27.0","$3.13 ","English","45.20%",2.48,287025.0,"65.20%","27.50%","35.60%","10.33%",89431.0,13.193887,-59.543198
"Belarus","42.00%",207600.0,"155000.0",9.9,58280.0,1.45,"42.60%","$0.60 ","$63,080,457,023 ","100.50%","87.40%",2.6,"74.2","2.0","$1.49 ","Russian","34.50%",5.19,9466856.0,"64.10%","14.70%","53.30%","4.59%",7482982.0,53.709807,27.953389
"Belgium","44.60%",30528.0,"32000.0",10.3,96889.0,1.62,"22.60%","$1.43 ","$529,606,710,418 ","103.90%","79.70%",2.9,"81.6","5.0","$10.31 ","French","17.60%",3.07,11484055.0,"53.60%","24.00%","55.40%","5.59%",11259082.0,50.503887,4.469936
"Belize","7.00%",22966.0,"2000.0",20.79,568.0,2.31,"59.70%","$1.13 ","$1,879,613,600 ","111.70%","24.70%",11.2,"74.5","36.0","$1.65 ","English","22.70%",1.12,390353.0,"65.10%","26.30%","31.10%","6.41%",179039.0,17.189877,-88.49765
"Benin","33.30%",112622.0,"12000.0",36.22,6476.0,4.84,"37.80%","$0.72 ","$14,390,709,095 ","122.00%","12.30%",60.5,"61.5","397.0","$0.39 ","French","40.50%",0.08,11801151.0,"70.90%","10.80%","48.90%","2.23%",5648149.0,9.30769,2.315834
"Bhutan","13.60%",38394.0,"6000.0",17.26,1261.0,1.98,"72.50%","$0.98 ","$2,446,674,101 ","100.10%","15.60%",24.8,"71.5","183.0","$0.32 ","Dzongkha","19.80%",0.42,727145.0,"66.70%","16.00%","35.30%","2.34%",317538.0,27.514162,90.433601
"Bolivia","34.80%",1098581.0,"71000.0",21.75,21606.0,2.73,"50.30%","$0.71 ","$40,895,322,865 ","98.20%","",21.8,"71.2","155.0","$1.36 ","Spanish","25.90%",1.59,11513100.0,"71.80%","17.00%","83.70%","3.50%",8033035.0,-16.290154,-63.588653
