"Country","Meat_consumption","Life_expectancy","Sex-ratio","Population_growth","GDP_per_capita","Suicide_rate","Fertility","Median_age","Urbanization_rate","Continent","World_Regions_World_Bank","world_regions-ONU","continente"
"Afghanistan",17.3,64.5,1.03,2.41,2182.0,6.4,4.5,27.4,26.0,"Asia","South Asia","Central and Southern Asia","Asia"
"Algeria",18.3,76.7,1.03,1.89,16091.0,3.3,3.0,28.1,73.7,"Africa","Middle East and North Africa","Northern Africa and Western Asia","Africa"
"Angola",19.0,60.8,0.95,3.12,6763.0,8.9,5.5,15.9,66.8,"Africa","Sub-Saharan Africa","Sub-Saharan Africa","Africa"
"Antigua and Barbuda",56.0,76.9,0.89,1.03,30593.0,0.5,2.0,31.9,24.4,"North America","Latin America and Caribbean","Latin America and Caribbean","AMERICA DO NORTE"
"Argentina",79.7,76.5,0.98,0.88,19971.0,9.1,2.3,31.7,92.1,"South America","Latin America and Caribbean","Latin America and Caribbean","AMERICA DO SUL"
"Armenia",27.7,74.9,0.95,0.17,11845.0,5.7,1.8,35.1,63.3,"Asia","Europe and Central Asia","Northern Africa and Western Asia","Asia"
"Australia",108.2,83.3,0.99,1.6,54799.0,11.7,1.7,38.7,86.2,"Oceania","East Asia and Pacific","Oceania","Oceania"
"Austria",94.1,81.4,0.96,0.46,55171.0,11.4,1.5,44.0,58.7,"Europe","Europe and Central Asia","Europe and Northern America","Europa"
"Azerbaijan",15.9,72.9,0.98,1.35,19156.0,2.6,1.7,32.3,56.4,"Asia","Europe and Central Asia","Northern Africa and Western Asia","Asia"
"Bahrain",70.7,77.2,1.53,1.92,51991.0,5.7,2.0,32.3,89.5,"Asia","Middle East and North Africa","Northern Africa and Western Asia","Asia"
"Bangladesh",3.1,72.3,0.97,1.19,5453.0,6.1,2.0,26.7,38.2,"Asia","South Asia","Central and Southern Asia","Asia"
"Barbados",88.7,79.1,0.94,0.5,19364.0,0.4,1.6,38.6,31.2,"North America","Latin America and Caribbean","Latin America and Caribbean","AMERICA DO NORTE"
"Belarus",58.6,74.6,0.87,-0.1,21224.0,21.4,1.4,40.0,79.5,"Europe","Europe and Central Asia","Europe and Northern America","Europa"
"Belgium",86.1,81.5,0.97,0.85,50904.0,15.7,1.6,41.4,98.1,"Europe","Europe and Central Asia","Europe and Northern America","Europa"
"Belize",74.7,74.5,1.0,2.43,8791.0,5.9,2.3,22.7,46.0,"North America","Latin America and Caribbean","Latin America and Caribbean","AMERICA DO NORTE"
"Benin",16.2,61.5,0.97,2.73,3648.0,15.7,4.8,18.2,48.4,"Africa","Sub-Saharan Africa","Sub-Saharan Africa","Africa"
"Bhutan",3.0,71.5,1.08,1.68,10627.0,11.6,2.0,27.6,42.3,"Asia","South Asia","Central and Southern Asia","Asia"
"Bolivia",50.0,71.2,0.98,1.65,8525.0,12.9,2.7,24.3,70.1,"South America","Latin America and Caribbean","Latin America and Caribbean","AMERICA DO SUL"
"Bosnia and Herzegovina",21.4,77.3,0.95,-0.14,14894.0,6.4,1.3,42.1,49.0,"Europe","Europe and Central Asia","Europe and Northern America","Europa"
"Botswana",27.3,69.3,0.93,0.86,19388.0,11.5,2.9,24.5,70.9,"Africa","Sub-Saharan Africa","Sub-Saharan Africa","Africa"
"Brazil",82.4,75.7,0.97,0.87,17106.0,6.1,1.7,32.6,87.1,"South America","Latin America and Caribbean","Latin America and Caribbean","AMERICA DO SUL"
"Bulgaria",69.4,74.9,0.95,-0.6,26034.0,7.9,1.6,42.7,75.7,"Europe","Europe and Central Asia","Europe and Northern America","Europa"
"Burkina Faso",11.2,61.2,0.96,2.86,2181.0,14.8,5.2,17.3,30.6,"Africa","Sub-Saharan Africa","Sub-Saharan Africa","Africa"
"Burundi",3.5,61.2,0.99,3.19,724.0,15.0,5.4,17.0,13.7,"Africa","Sub-Saharan Africa","Sub-Saharan Africa","Africa"
"Cambodia",13.9,69.6,0.95,1.76,5004.0,5.9,2.5,25.3,24.2,"Asia","East Asia and Pacific","Eastern and South-Eastern Asia","Asia"
"Cameroon",14.4,58.9,0.99,2.54,4099.0,19.5,4.6,18.5,57.6,"Africa","Sub-Saharan Africa","Sub-Saharan Africa","Africa"
"Canada",108.1,82.3,0.98,1.14,52144.0,10.4,1.5,42.2,81.6,"North America","North America","Europe and Northern America","AMERICA DO NORTE"
"Cape Verde",26.3,72.8,0.95,0.78,8716.0,15.1,2.3,25.4,66.7,"Africa","Sub-Saharan Africa","Sub-Saharan Africa","Africa"
"Central African Republic",28.0,52.8,0.99,1.99,864.0,11.6,4.7,19.7,42.2,"Africa","Sub-Saharan Africa","Sub-Saharan Africa","Africa"
"Chad",14.3,54.0,0.98,3.0,2603.0,15.5,5.7,17.8,23.5,"Africa","Sub-Saharan Africa","Sub-Saharan Africa","Africa"
"Chile",66.4,80.0,0.97,0.9,27150.0,9.7,1.6,34.4,87.7,"South America","Latin America and Caribbean","Latin America and Caribbean","AMERICA DO SUL"
"China",52.4,76.7,1.06,0.49,20984.0,8.0,1.7,37.4,61.4,"Asia","East Asia and Pacific","Eastern and South-Eastern Asia","Asia"
"Colombia",33.9,77.1,0.98,1.32,16265.0,7.0,1.8,30.0,81.4,"South America","Latin America and Caribbean","Latin America and Caribbean","AMERICA DO SUL"
