ID,Segment Type,Segment Description,Answer,Count,Percentage,It became a Relationship
292881,Mobile,Mobile respondents,Yes,797,0.207,Yes
292883,Mobile,Mobile respondents,No,1969,0.511,No
292885,Mobile,Mobile respondents,I don't use Tinder,1090,0.283,Yes
292887,Web,Web-based respondents,Yes,0,0,No
292889,Web,Web-based respondents,No,0,0,No
292891,Web,Web-based respondents,I don't use Tinder,0,0,No
292893,Gender,Male respondents,Yes,472,0.213,Yes
292895,Gender,Male respondents,No,1172,0.528,No
292897,Gender,Male respondents,I don't use Tinder,574,0.259,No
292899,Gender,Female respondents,Yes,325,0.198,No
292901,Gender,Female respondents,No,797,0.487,Yes
292903,Gender,Female respondents,I don't use Tinder,516,0.315,No
292905,University,Chapman University,Yes,13,0.206,No
292907,University,Chapman University,No,31,0.492,No
292909,University,Chapman University,I don't use Tinder,19,0.302,Yes
292911,University,Cornell University,Yes,47,0.244,No
292913,University,Cornell University,No,95,0.492,Yes
292915,University,Cornell University,I don't use Tinder,51,0.264,No
292917,University,Duke University,Yes,0,0,No
292919,University,Duke University,No,2,0.667,No
292921,University,Duke University,I don't use Tinder,1,0.333,Yes
292923,University,George Washington University,Yes,1,0.25,No
292925,University,George Washington University,No,3,0.75,No
292927,University,George Washington University,I don't use Tinder,0,0,No
292929,University,Georgetown University,Yes,2,0.5,Yes
292931,University,Georgetown University,No,1,0.25,No
292933,University,Georgetown University,I don't use Tinder,1,0.25,No
292935,University,Harvard University,Yes,1,0.333,No
292937,University,Harvard University,No,2,0.667,Yes
292939,University,Harvard University,I don't use Tinder,0,0,No
292941,University,Indiana University,Yes,9,0.205,Yes
292943,University,Indiana University,No,30,0.682,No
292945,University,Indiana University,I don't use Tinder,5,0.114,No
292947,University,Johns Hopkins University,Yes,33,0.239,No
292949,University,Johns Hopkins University,No,76,0.551,Yes
292951,University,Johns Hopkins University,I don't use Tinder,29,0.21,No
292953,University,Northwestern University,Yes,31,0.258,No
292955,University,Northwestern University,No,65,0.542,No
292957,University,Northwestern University,I don't use Tinder,24,0.2,Yes
292959,University,Ohio State University,Yes,6,0.316,No
292961,University,Ohio State University,No,12,0.632,No
292963,University,Ohio State University,I don't use Tinder,1,0.053,No
292965,University,Princeton University,Yes,1,0.5,Yes
292967,University,Princeton University,No,1,0.5,No
292969,University,Princeton University,I don't use Tinder,0,0,Yes
292971,University,San Diego State University,Yes,5,0.192,No
292973,University,San Diego State University,No,15,0.577,No
292975,University,San Diego State University,I don't use Tinder,6,0.231,No
292977,University,Santa Clara University,Yes,0,0,Yes
292979,University,Santa Clara University,No,4,0.8,No
292981,University,Santa Clara University,I don't use Tinder,1,0.2,No
292983,University,Southern Methodist University,Yes,3,0.333,No
292985,University,Southern Methodist University,No,4,0.444,Yes
292987,University,Southern Methodist University,I don't use Tinder,2,0.222,No
292989,University,Stanford University,Yes,13,0.12,No
292991,University,Stanford University,No,58,0.537,No
292993,University,Stanford University,I don't use Tinder,37,0.343,Yes
292995,University,Tulane University,Yes,3,0.429,No
292997,University,Tulane University,No,3,0.429,Yes
292999,University,Tulane University,I don't use Tinder,1,0.143,No
293001,University,University of Pennsylvania,Yes,24,0.222,No
293003,University,University of Pennsylvania,No,60,0.556,No
293005,University,University of Pennsylvania,I don't use Tinder,24,0.222,Yes
293007,University,University of Wisconsin-Madison,Yes,34,0.27,No
293009,University,University of Wisconsin-Madison,No,71,0.563,No
293011,University,University of Wisconsin-Madison,I don't use Tinder,21,0.167,No
293013,University,University of Alabama,Yes,2,0.133,Yes
293015,University,University of Alabama,No,11,0.733,No
293017,University,University of Alabama,I don't use Tinder,2,0.133,No
293019,University,"University of California, Berkeley",Yes,25,0.275,No
293021,University,"University of California, Berkeley",No,47,0.516,Yes
293023,University,"University of California, Berkeley",I don't use Tinder,19,0.209,No
293025,University,"University of California, Davis",Yes,3,0.176,Yes
293027,University,"University of California, Davis",No,8,0.471,No
293029,University,"University of California, Davis",I don't use Tinder,6,0.353,No
293031,University,"University of California, Los Angeles",Yes,1,0.077,No
293033,University,"University of California, Los Angeles",No,7,0.538,Yes
293035,University,"University of California, Los Angeles",I don't use Tinder,5,0.385,No
293037,University,"University of California, Santa Barbara",Yes,24,0.32,No
293039,University,"University of California, Santa Barbara",No,34,0.453,No
293041,University,"University of California, Santa Barbara",I don't use Tinder,17,0.227,Yes
293043,University,University of Colorado Boulder,Yes,3,0.5,No
293045,University,University of Colorado Boulder,No,3,0.5,No
293047,University,University of Colorado Boulder,I don't use Tinder,0,0,No
293049,University,University of Miami,Yes,0,0,Yes
293051,University,University of Miami,No,0,0,No
293053,University,University of Miami,I don't use Tinder,1,1,Yes
293055,University,University of Michigan,Yes,14,0.163,No
293057,University,University of Michigan,No,49,0.57,No
293059,University,University of Michigan,I don't use Tinder,23,0.267,No
293061,University,University of Oregon,Yes,1,0.2,Yes
293063,University,University of Oregon,No,4,0.8,No
293065,University,University of Oregon,I don't use Tinder,0,0,No
293067,University,University of Southern California,Yes,1,0.1,No
293069,University,University of Southern California,No,7,0.7,Yes
293071,University,University of Southern California,I don't use Tinder,2,0.2,No
293073,University,University of Virginia,Yes,3,0.167,No
293075,University,University of Virginia,No,7,0.389,No
293077,University,University of Virginia,I don't use Tinder,8,0.444,Yes
293079,University,Vanderbilt University,Yes,23,0.235,No
293081,University,Vanderbilt University,No,63,0.643,Yes
293083,University,Vanderbilt University,I don't use Tinder,12,0.122,No
293085,University,Wesleyan University,Yes,0,0,No
293087,University,Wesleyan University,No,2,1,No
293089,University,Wesleyan University,I don't use Tinder,0,0,Yes
293091,University,University of Texas,Yes,12,0.164,No
293093,University,University of Texas,No,35,0.479,No
293095,University,University of Texas,I don't use Tinder,26,0.356,No
293097,University,"University of California, San Diego",Yes,1,1,Yes
293099,University,"University of California, San Diego",No,0,0,No
293101,University,"University of California, San Diego",I don't use Tinder,0,0,No
293103,University,Miami University (Ohio),Yes,0,0,No
293105,University,Miami University (Ohio),No,1,0.5,Yes
293107,University,Miami University (Ohio),I don't use Tinder,1,0.5,No
293109,University,University of Maine,Yes,0,0,Yes
293111,University,University of Maine,No,3,0.75,No
293113,University,University of Maine,I don't use Tinder,1,0.25,No
293115,University,Texas Tech University,Yes,3,0.231,No
293117,University,Texas Tech University,No,5,0.385,Yes
293119,University,Texas Tech University,I don't use Tinder,5,0.385,No
293121,University,University of North Carolina,Yes,1,0.083,No
293123,University,University of North Carolina,No,8,0.667,No
293125,University,University of North Carolina,I don't use Tinder,3,0.25,Yes
293127,University,University of Arkansas,Yes,12,0.182,No
293129,University,University of Arkansas,No,35,0.53,No
293131,University,University of Arkansas,I don't use Tinder,19,0.288,No
293133,University,University of Mississippi,Yes,2,0.667,Yes
293135,University,University of Mississippi,No,1,0.333,No
