"Açude","Data do registro","Volume (%)","Volume (m³)","Afluência/Defluência (m²)"
"Epitácio Pessoa","01/04/1960","90,50","484.714.735","0"
"Epitácio Pessoa","31/01/1967","95","508.831.826","-183.891"
"Epitácio Pessoa","28/02/1967","95,70","512.509.658","1.655.025"
"Epitácio Pessoa","31/03/1967","100","535.680.000","0"
"Epitácio Pessoa","30/04/1967","100","535.680.000","0"
"Epitácio Pessoa","31/05/1967","100","535.680.000","0"
"Epitácio Pessoa","30/06/1967","99,10","531.082.710","0"
"Epitácio Pessoa","31/07/1967","98,80","529.059.902","-183.892"
"Epitácio Pessoa","31/08/1967","98","525.014.287","-183.892"
"Epitácio Pessoa","29/09/1967","97,20","520.600.888","-183.892"
"Epitácio Pessoa","31/10/1967","96,60","517.290.840","0"
"Epitácio Pessoa","30/11/1967","95,50","511.406.308","-183.892"
"Epitácio Pessoa","31/12/1967","94,60","506.625.126","0"
"Epitácio Pessoa","31/01/1968","94,30","504.970.102","183.892"
"Epitácio Pessoa","29/02/1968","93,50","500.924.487","0"
"Epitácio Pessoa","31/03/1968","100","535.680.000","0"
"Epitácio Pessoa","30/04/1968","100","535.680.000","0"
"Epitácio Pessoa","31/05/1968","100","535.680.000","0"
"Epitácio Pessoa","30/06/1968","99,30","531.818.276","0"
"Epitácio Pessoa","31/07/1968","98,70","528.692.119","-183.892"
"Epitácio Pessoa","31/08/1968","97,90","524.646.504","-183.891"
"Epitácio Pessoa","30/09/1968","97","519.681.430","0"
"Epitácio Pessoa","31/10/1968","96","514.348.574","-183.891"
"Epitácio Pessoa","30/11/1968","95,10","509.199.609","-183.891"
"Epitácio Pessoa","31/12/1968","94,20","504.418.427","0"
"Epitácio Pessoa","31/01/1972","89,90","481.562.080","-394.082"
"Epitácio Pessoa","29/02/1972","91,70","491.020.043","7.881.636"
"Epitácio Pessoa","31/03/1972","94,10","504.050.644","0"
"Epitácio Pessoa","30/04/1972","95,80","513.245.224","0"
"Epitácio Pessoa","31/05/1972","96,50","516.923.056","-183.892"
"Epitácio Pessoa","30/06/1972","96","514.164.682","-183.892"
"Epitácio Pessoa","31/07/1972","95,40","510.854.633","-183.892"
"Epitácio Pessoa","31/08/1972","91,44","376.432.108,84","-353.506,29"
"Epitácio Pessoa","29/09/1972","94,30","505.337.885","-183.892"
"Epitácio Pessoa","31/10/1972","93,30","499.821.137","-183.892"
"Epitácio Pessoa","30/11/1972","91,30","489.049.634","-394.082"
"Epitácio Pessoa","31/12/1972","93,80","502.211.728","-183.891"
"Epitácio Pessoa","31/01/1973","94,60","506.809.018","-183.892"
"Epitácio Pessoa","28/02/1973","94,10","504.050.644","0"
"Epitácio Pessoa","31/03/1973","94,30","504.970.102","0"
"Epitácio Pessoa","30/04/1973","100","535.680.000","0"
"Epitácio Pessoa","31/05/1973","99,80","534.760.542","-183.892"
"Epitácio Pessoa","30/06/1973","99,20","531.450.493","-183.892"
"Epitácio Pessoa","31/07/1973","98,70","528.876.011","-183.891"
"Epitácio Pessoa","31/08/1973","98","525.198.179","-183.891"
"Epitácio Pessoa","29/09/1973","97,40","521.888.130","-183.891"
"Epitácio Pessoa","31/10/1973","97","519.865.322","-183.892"
