"Açude","Data do registro","Volume (%)","Volume (m³)","Afluência/Defluência (m²)"
"Epitácio Pessoa","31/05/2011","105,34","433.663.686,12","-419.609,15"
"Epitácio Pessoa","30/06/2011","102,85","423.402.672,42","0"
"Epitácio Pessoa","31/07/2011","103,54","426.245.553,83","0"
"Epitácio Pessoa","31/08/2011","101,76","418.935.287,33","-406.125,92"
"Epitácio Pessoa","30/09/2011","99,33","408.947.170,40","-391.302,37"
"Epitácio Pessoa","31/10/2011","96,50","397.258.174,18","-366.264,91"
"Epitácio Pessoa","30/11/2011","93,92","386.636.491,82","-366.264,91"
"Epitácio Pessoa","31/12/2011","90,84","373.957.564,81","-353.506,29"
"Epitácio Pessoa","31/01/2012","88,77","365.473.413,85","-353.506,29"
"Epitácio Pessoa","29/02/2012","87,66","360.877.832,08","-353.506,29"
"Epitácio Pessoa","31/03/2012","84,05","346.030.567,90","-353.506,29"
"Epitácio Pessoa","30/04/2012","81,13","333.993.144,75","-680.188,82"
"Epitácio Pessoa","31/05/2012","78,81","324.470.501,27","0"
"Epitácio Pessoa","30/06/2012","76,91","316.648.329,84","-340.094,41"
"Epitácio Pessoa","31/07/2012","75,01","308.826.158,41","-340.094,41"
"Epitácio Pessoa","31/08/2012","72,65","299.103.057,45","-323.551,95"
"Epitácio Pessoa","30/09/2012","70,14","288.749.395,05","-323.551,95"
"Epitácio Pessoa","31/10/2012","67,23","276.777.972,90","-647.103,90"
"Epitácio Pessoa","30/11/2012","64,05","263.693.583,78","-606.696,84"
"Epitácio Pessoa","31/12/2012","61,18","251.862.995,40","-303.348,42"
"Epitácio Pessoa","31/01/2013","58,34","240.189.899","-280.306,40"
"Epitácio Pessoa","28/02/2013","55,76","229.538.255,80","-280.306,40"
"Epitácio Pessoa","31/03/2013","53,44","220.007.838,20","-560.612,80"
"Epitácio Pessoa","30/04/2013","51,84","213.416.710,16","0"
"Epitácio Pessoa","31/05/2013","49,91","205.486.770,04","-511.609,04"
"Epitácio Pessoa","30/06/2013","48,30","198.835.852,52","-255.804,52"
"Epitácio Pessoa","31/07/2013","46,87","192.952.348,56","-255.804,52"
"Epitácio Pessoa","31/08/2013","45","185.266.179","-230.625,20"
"Epitácio Pessoa","30/09/2013","43,21","177.886.172,60","-230.625,20"
"Epitácio Pessoa","31/10/2013","40,93","168.503.884,12","-206.176,96"
"Epitácio Pessoa","30/11/2013","39,38","162.112.398,36","-206.176,96"
"Epitácio Pessoa","31/12/2013","37,47","154.277.673,88","-412.353,92"
"Epitácio Pessoa","31/01/2014","35,22","145.007.635,81","-184.057,01"
"Epitácio Pessoa","28/02/2014","33,88","139.485.925,51","-184.057,01"
"Epitácio Pessoa","31/03/2014","32,50","133.780.158,20","-184.057,01"
"Epitácio Pessoa","30/04/2014","32","131.755.531,09","1.820.995,58"
"Epitácio Pessoa","31/05/2014","31,87","131.203.360,06","-184.057,01"
"Epitácio Pessoa","30/06/2014","31","127.631.780,65","328.964,98"
"Epitácio Pessoa","31/07/2014","29,84","122.861.788,44","-164.482,49"
"Epitácio Pessoa","31/08/2014","28,49","117.269.383,78","-164.482,49"
"Epitácio Pessoa","30/09/2014","27,11","111.610.104,92","-145.761,72"
"Epitácio Pessoa","31/10/2014","25,73","105.925.397,84","-145.761,72"
"Epitácio Pessoa","30/11/2014","24,28","99.949.167,32","-145.761,72"
"Epitácio Pessoa","31/12/2014","23","94.676.633,08","-129.351,88"
"Epitácio Pessoa","31/01/2015","21,65","89.114.502,24","-129.351,88"
"Epitácio Pessoa","28/02/2015","21,46","88.338.390,96","-258.703,76"
"Epitácio Pessoa","31/03/2015","20,53","84.508.544,38","-232.980,66"
"Epitácio Pessoa","30/04/2015","19,74","81.246.815,14","-116.490,33"
"Epitácio Pessoa","31/05/2015","18,63","76.703.692,27","116.490,33"
"Epitácio Pessoa","30/06/2015","17,86","73.543.129,60","0"
"Epitácio Pessoa","31/07/2015","17,28","71.122.388,80","-105.249,60"
"Epitácio Pessoa","31/08/2015","16,38","67.438.652,80","0"
"Epitácio Pessoa","30/09/2015","15,35","63.204.469,04","-190.236,74"
"Epitácio Pessoa","31/10/2015","14,29","58.829.024,02","-190.236,74"
"Epitácio Pessoa","30/11/2015","13,32","54.834.052,48","-190.236,74"
"Epitácio Pessoa","31/12/2015","12,54","51.642.342,33","-170.377,98"
"Epitácio Pessoa","31/01/2016","11,92","49.086.672,63","-85.188,99"
"Epitácio Pessoa","29/02/2016","11,30","46.531.002,93","-85.188,99"
"Epitácio Pessoa","31/03/2016","10,56","43.453.734,72","-75.180,16"
"Epitácio Pessoa","30/04/2016","9,95","40.972.789,44","-150.360,32"
"Epitácio Pessoa","31/05/2016","9,28","38.218.750,01","-65.971,33"
"Epitácio Pessoa","30/06/2016","8,64","35.579.896,81","-131.942,66"
"Epitácio Pessoa","31/07/2016","7,95","32.743.129,62","-65.971,33"
"Epitácio Pessoa","31/08/2016","7,34","30.221.466,16","-57.073,78"
"Epitácio Pessoa","30/09/2016","6,70","27.596.072,02","-114.147,54"
"Epitácio Pessoa","31/10/2016","6,05","24.888.594,75","-48.942,37"
"Epitácio Pessoa","30/11/2016","5,39","22.196.764,40","-97.884,74"
"Epitácio Pessoa","31/12/2016","4,82","19.828.074,48","-42.116,44"
"Epitácio Pessoa","31/01/2017","4,21","17.343.204,52","-84.232,88"
"Epitácio Pessoa","28/02/2017","3,72","15.312.655,88","-70.567,38"
"Epitácio Pessoa","31/03/2017","3,18","13.094.571,31","-58.974,26"
"Epitácio Pessoa","30/04/2017","3,45","14.183.577,60","282.269,44"
"Epitácio Pessoa","31/05/2017","5,46","22.490.417,88","391.539,04"
"Epitácio Pessoa","30/06/2017","6,84","28.166.810,08","171.221,34"
"Epitácio Pessoa","31/07/2017","7,73","31.819.532","114.147,56"
"Epitácio Pessoa","31/08/2017","8,40","34.590.327,44","65.971,32"
"Epitácio Pessoa","30/09/2017","8,63","35.513.925,92","0"
"Epitácio Pessoa","31/10/2017","9,24","38.020.836,08","0"
"Epitácio Pessoa","30/11/2017","9,30","38.284.721,36","0"
"Epitácio Pessoa","31/12/2017","9,66","39.769.906,88","0"
"Epitácio Pessoa","31/01/2018","10,26","42.250.852,16","75.180,16"
"Epitácio Pessoa","28/02/2018","12,07","49.682.996","255.567"
"Epitácio Pessoa","30/03/2018","16,89","69.543.644,80","315.748,80"
"Epitácio Pessoa","30/04/2018","35,13","144.639.522,16","0"
"Epitácio Pessoa","31/05/2018","34,95","143.903.294","-184.057,04"
"Epitácio Pessoa","30/06/2018","33,35","137.277.240,56","-184.057,04"
"Epitácio Pessoa","31/07/2018","31,60","130.099.016","-184.057,04"
"Epitácio Pessoa","31/08/2018","29,76","122.532.821,92","-328.964,96"
"Epitácio Pessoa","29/09/2018","28,01","115.295.592,80","-328.964,96"
"Epitácio Pessoa","31/10/2018","26,01","107.091.492,40","-291.523,36"
"Epitácio Pessoa","30/11/2018","24,14","99.366.123,36","-291.523,36"
"Epitácio Pessoa","31/12/2018","22,40","92.218.948,24","-258.703,84"
"Epitácio Pessoa","31/01/2019","18,24","85.090.995,12","-232.980,64"
"Epitácio Pessoa","28/02/2019","20,18","94.159.227,04","-129.351,92"
"Epitácio Pessoa","31/03/2019","20,88","97.393.025,04","3.233.798"
"Epitácio Pessoa","30/04/2019","23,02","107.383.015,76","0"
"Epitácio Pessoa","31/05/2019","22,80","106.362.684","-145.761,68"
"Epitácio Pessoa","30/06/2019","25,05","116.849.919,64","-156.003,67"
"Epitácio Pessoa","31/07/2019","23,47","109.511.121,28","-299.116,95"
"Epitácio Pessoa","31/08/2019","21,21","98.935.926,72","-139.821,98"
"Epitácio Pessoa","30/09/2019","19,74","92.084.814,36","-263.405,28"
"Epitácio Pessoa","31/10/2019","18,18","84.819.318,17","-248.014,19"
"Epitácio Pessoa","30/11/2019","16,61","77.489.622,07","-349.970,75"
"Epitácio Pessoa","31/12/2019","15,07","70.287.130,90","-217.703,73"
"Epitácio Pessoa","31/01/2020","18,13","84.571.797,21","-123.699,59"
"Epitácio Pessoa","29/02/2020","21,53","100.460.185,70","-278.606,90"
"Epitácio Pessoa","31/03/2020","63,29","295.275.077,70","991.244,40"
"Epitácio Pessoa","30/04/2020","67,06","312.839.440,90","2.749.778,30"
"Epitácio Pessoa","31/05/2020","70,83","330.452.143,80","359.768,50"
"Epitácio Pessoa","30/06/2020","68,92","321.550.980,80","-704.993,90"
"Epitácio Pessoa","31/07/2020","65,81","307.017.151","-680.864,70"
"Epitácio Pessoa","31/08/2020","63,36","295.606.046,10","-662.737,70"
"Epitácio Pessoa","30/09/2020","61,12","285.154.763,70","-644.528,90"
"Epitácio Pessoa","31/10/2020","58,28","271.874.298,10","-621.874,80"
"Epitácio Pessoa","30/11/2020","55,66","259.653.384,80","-300.511,40"
"Epitácio Pessoa","31/12/2020","53","247.262.167,10","-289.853,60"
"Epitácio Pessoa","31/01/2021","50,50","235.595.207,80","-279.561,50"
"Epitácio Pessoa","28/02/2021","49,84","232.536.518,40","0"
"Epitácio Pessoa","31/03/2021","47,74","222.734.544,20","-268.047,50"
"Epitácio Pessoa","30/04/2021","45,93","214.283.325,20","-260.389,60"
"Epitácio Pessoa","13/05/2021","45,16","210.663.329,30","-256.992,70"
