Açude,Data do registro,Volume (%),Volume (m³),Afluência/Defluência (m²),Unnamed: 0,data
Epitácio Pessoa,01/04/1960,90.5,484714735.0,0.0,,1960-04-01
Epitácio Pessoa,01/01/1967,95.9,513613007.0,0.0,,1967-01-01
Epitácio Pessoa,02/01/1967,95.8,513429116.0,-183891.0,,1967-01-02
Epitácio Pessoa,03/01/1967,95.8,513245224.0,-183892.0,,1967-01-03
Epitácio Pessoa,04/01/1967,95.8,513245224.0,0.0,,1967-01-04
Epitácio Pessoa,05/01/1967,95.8,513061333.0,-183891.0,,1967-01-05
Epitácio Pessoa,06/01/1967,95.7,512877441.0,-183892.0,,1967-01-06
Epitácio Pessoa,07/01/1967,95.7,512693549.0,-183892.0,,1967-01-07
Epitácio Pessoa,08/01/1967,95.7,512509658.0,-183891.0,,1967-01-08
Epitácio Pessoa,09/01/1967,95.6,512325766.0,-183892.0,,1967-01-09
Epitácio Pessoa,10/01/1967,95.6,512141875.0,-183891.0,,1967-01-10
Epitácio Pessoa,11/01/1967,95.6,511957983.0,-183892.0,,1967-01-11
Epitácio Pessoa,12/01/1967,95.5,511774091.0,-183892.0,,1967-01-12
Epitácio Pessoa,13/01/1967,95.5,511590200.0,-183891.0,,1967-01-13
Epitácio Pessoa,14/01/1967,95.5,511406308.0,-183892.0,,1967-01-14
Epitácio Pessoa,15/01/1967,95.4,511222417.0,-183891.0,,1967-01-15
Epitácio Pessoa,16/01/1967,95.4,511038525.0,-183892.0,,1967-01-16
Epitácio Pessoa,17/01/1967,95.4,510854633.0,-183892.0,,1967-01-17
Epitácio Pessoa,18/01/1967,95.3,510670742.0,-183891.0,,1967-01-18
Epitácio Pessoa,19/01/1967,95.3,510486850.0,-183892.0,,1967-01-19
Epitácio Pessoa,20/01/1967,95.3,510486850.0,0.0,,1967-01-20
Epitácio Pessoa,21/01/1967,95.3,510302959.0,-183891.0,,1967-01-21
Epitácio Pessoa,22/01/1967,95.2,510119067.0,-183892.0,,1967-01-22
Epitácio Pessoa,23/01/1967,95.2,509935175.0,-183892.0,,1967-01-23
Epitácio Pessoa,24/01/1967,95.2,509751284.0,-183891.0,,1967-01-24
Epitácio Pessoa,25/01/1967,95.2,509751284.0,0.0,,1967-01-25
Epitácio Pessoa,26/01/1967,95.1,509567392.0,-183892.0,,1967-01-26
Epitácio Pessoa,27/01/1967,95.1,509383500.0,-183892.0,,1967-01-27
Epitácio Pessoa,28/01/1967,95.1,509199609.0,-183891.0,,1967-01-28
Epitácio Pessoa,29/01/1967,95.1,509199609.0,0.0,,1967-01-29
Epitácio Pessoa,30/01/1967,95.0,509015717.0,-183892.0,,1967-01-30
Epitácio Pessoa,31/01/1967,95.0,508831826.0,-183891.0,,1967-01-31
Epitácio Pessoa,01/02/1967,95.0,508647934.0,-183892.0,,1967-02-01
Epitácio Pessoa,02/02/1967,95.0,508647934.0,0.0,,1967-02-02
Epitácio Pessoa,03/02/1967,94.9,508464042.0,-183892.0,,1967-02-03
Epitácio Pessoa,04/02/1967,94.9,508280151.0,-183891.0,,1967-02-04
Epitácio Pessoa,05/02/1967,94.9,508096259.0,-183892.0,,1967-02-05
Epitácio Pessoa,06/02/1967,94.8,507912368.0,-183891.0,,1967-02-06
Epitácio Pessoa,07/02/1967,94.8,507728476.0,-183892.0,,1967-02-07
Epitácio Pessoa,08/02/1967,94.8,507728476.0,0.0,,1967-02-08
Epitácio Pessoa,09/02/1967,94.7,507544584.0,-183892.0,,1967-02-09
Epitácio Pessoa,10/02/1967,94.7,507360693.0,-183891.0,,1967-02-10
Epitácio Pessoa,11/02/1967,94.7,507176801.0,-183892.0,,1967-02-11
Epitácio Pessoa,12/02/1967,94.6,506992910.0,-183891.0,,1967-02-12
Epitácio Pessoa,13/02/1967,94.6,506809018.0,-183892.0,,1967-02-13
Epitácio Pessoa,14/02/1967,94.6,506625126.0,-183892.0,,1967-02-14
Epitácio Pessoa,15/02/1967,94.6,506625126.0,0.0,,1967-02-15
Epitácio Pessoa,16/02/1967,94.5,506441235.0,-183891.0,,1967-02-16
Epitácio Pessoa,17/02/1967,94.5,506441235.0,0.0,,1967-02-17
Epitácio Pessoa,18/02/1967,94.5,506257343.0,-183892.0,,1967-02-18
Epitácio Pessoa,19/02/1967,94.5,506073452.0,-183891.0,,1967-02-19
Epitácio Pessoa,20/02/1967,94.5,506073452.0,0.0,,1967-02-20
Epitácio Pessoa,21/02/1967,94.4,505889560.0,-183892.0,,1967-02-21
Epitácio Pessoa,22/02/1967,94.4,505889560.0,0.0,,1967-02-22
Epitácio Pessoa,23/02/1967,94.5,506073452.0,183892.0,,1967-02-23
Epitácio Pessoa,24/02/1967,94.6,506992910.0,919458.0,,1967-02-24
Epitácio Pessoa,25/02/1967,94.8,507912368.0,919458.0,,1967-02-25
Epitácio Pessoa,26/02/1967,95.1,509383500.0,1471132.0,,1967-02-26
Epitácio Pessoa,27/02/1967,95.4,510854633.0,1471133.0,,1967-02-27
Epitácio Pessoa,28/02/1967,95.7,512509658.0,1655025.0,,1967-02-28
Epitácio Pessoa,01/03/1967,95.7,512693549.0,183891.0,,1967-03-01
Epitácio Pessoa,02/03/1967,95.7,512877441.0,183892.0,,1967-03-02
Epitácio Pessoa,03/03/1967,95.7,512693549.0,-183892.0,,1967-03-03
