Açude,Data do registro,Volume (%),Volume (m³),Afluência/Defluência (m²),data
Epitácio Pessoa,01/04/1960,90.5,484.714.735,0,1960-04-01
Epitácio Pessoa,01/01/1967,95.9,513.613.007,0,1967-01-01
Epitácio Pessoa,02/01/1967,95.8,513.429.116,-183.891,1967-01-02
Epitácio Pessoa,03/01/1967,95.8,513.245.224,-183.892,1967-01-03
Epitácio Pessoa,04/01/1967,95.8,513.245.224,0,1967-01-04
Epitácio Pessoa,05/01/1967,95.8,513.061.333,-183.891,1967-01-05
Epitácio Pessoa,06/01/1967,95.7,512.877.441,-183.892,1967-01-06
Epitácio Pessoa,07/01/1967,95.7,512.693.549,-183.892,1967-01-07
Epitácio Pessoa,08/01/1967,95.7,512.509.658,-183.891,1967-01-08
Epitácio Pessoa,09/01/1967,95.6,512.325.766,-183.892,1967-01-09
Epitácio Pessoa,10/01/1967,95.6,512.141.875,-183.891,1967-01-10
Epitácio Pessoa,11/01/1967,95.6,511.957.983,-183.892,1967-01-11
Epitácio Pessoa,12/01/1967,95.5,511.774.091,-183.892,1967-01-12
Epitácio Pessoa,13/01/1967,95.5,511.590.200,-183.891,1967-01-13
Epitácio Pessoa,14/01/1967,95.5,511.406.308,-183.892,1967-01-14
Epitácio Pessoa,15/01/1967,95.4,511.222.417,-183.891,1967-01-15
Epitácio Pessoa,16/01/1967,95.4,511.038.525,-183.892,1967-01-16
Epitácio Pessoa,17/01/1967,95.4,510.854.633,-183.892,1967-01-17
Epitácio Pessoa,18/01/1967,95.3,510.670.742,-183.891,1967-01-18
Epitácio Pessoa,19/01/1967,95.3,510.486.850,-183.892,1967-01-19
Epitácio Pessoa,20/01/1967,95.3,510.486.850,0,1967-01-20
Epitácio Pessoa,21/01/1967,95.3,510.302.959,-183.891,1967-01-21
Epitácio Pessoa,22/01/1967,95.2,510.119.067,-183.892,1967-01-22
Epitácio Pessoa,23/01/1967,95.2,509.935.175,-183.892,1967-01-23
Epitácio Pessoa,24/01/1967,95.2,509.751.284,-183.891,1967-01-24
Epitácio Pessoa,25/01/1967,95.2,509.751.284,0,1967-01-25
Epitácio Pessoa,26/01/1967,95.1,509.567.392,-183.892,1967-01-26
Epitácio Pessoa,27/01/1967,95.1,509.383.500,-183.892,1967-01-27
Epitácio Pessoa,28/01/1967,95.1,509.199.609,-183.891,1967-01-28
Epitácio Pessoa,29/01/1967,95.1,509.199.609,0,1967-01-29
Epitácio Pessoa,30/01/1967,95.0,509.015.717,-183.892,1967-01-30
Epitácio Pessoa,31/01/1967,95.0,508.831.826,-183.891,1967-01-31
Epitácio Pessoa,01/02/1967,95.0,508.647.934,-183.892,1967-02-01
Epitácio Pessoa,02/02/1967,95.0,508.647.934,0,1967-02-02
Epitácio Pessoa,03/02/1967,94.9,508.464.042,-183.892,1967-02-03
Epitácio Pessoa,04/02/1967,94.9,508.280.151,-183.891,1967-02-04
Epitácio Pessoa,05/02/1967,94.9,508.096.259,-183.892,1967-02-05
Epitácio Pessoa,06/02/1967,94.8,507.912.368,-183.891,1967-02-06
Epitácio Pessoa,07/02/1967,94.8,507.728.476,-183.892,1967-02-07
Epitácio Pessoa,08/02/1967,94.8,507.728.476,0,1967-02-08
Epitácio Pessoa,09/02/1967,94.7,507.544.584,-183.892,1967-02-09
Epitácio Pessoa,10/02/1967,94.7,507.360.693,-183.891,1967-02-10
Epitácio Pessoa,11/02/1967,94.7,507.176.801,-183.892,1967-02-11
Epitácio Pessoa,12/02/1967,94.6,506.992.910,-183.891,1967-02-12
Epitácio Pessoa,13/02/1967,94.6,506.809.018,-183.892,1967-02-13
Epitácio Pessoa,14/02/1967,94.6,506.625.126,-183.892,1967-02-14
Epitácio Pessoa,15/02/1967,94.6,506.625.126,0,1967-02-15
Epitácio Pessoa,16/02/1967,94.5,506.441.235,-183.891,1967-02-16
Epitácio Pessoa,17/02/1967,94.5,506.441.235,0,1967-02-17
Epitácio Pessoa,18/02/1967,94.5,506.257.343,-183.892,1967-02-18
Epitácio Pessoa,19/02/1967,94.5,506.073.452,-183.891,1967-02-19
Epitácio Pessoa,20/02/1967,94.5,506.073.452,0,1967-02-20
Epitácio Pessoa,21/02/1967,94.4,505.889.560,-183.892,1967-02-21
Epitácio Pessoa,22/02/1967,94.4,505.889.560,0,1967-02-22
Epitácio Pessoa,23/02/1967,94.5,506.073.452,183.892,1967-02-23
Epitácio Pessoa,24/02/1967,94.6,506.992.910,919.458,1967-02-24
Epitácio Pessoa,25/02/1967,94.8,507.912.368,919.458,1967-02-25
Epitácio Pessoa,26/02/1967,95.1,509.383.500,1.471.132,1967-02-26
Epitácio Pessoa,27/02/1967,95.4,510.854.633,1.471.133,1967-02-27
Epitácio Pessoa,28/02/1967,95.7,512.509.658,1.655.025,1967-02-28
Epitácio Pessoa,01/03/1967,95.7,512.693.549,183.891,1967-03-01
Epitácio Pessoa,02/03/1967,95.7,512.877.441,183.892,1967-03-02
Epitácio Pessoa,03/03/1967,95.7,512.693.549,-183.892,1967-03-03
Epitácio Pessoa,04/03/1967,95.7,512.877.441,183.892,1967-03-04
Epitácio Pessoa,05/03/1967,95.8,513.061.333,183.892,1967-03-05
Epitácio Pessoa,06/03/1967,95.8,513.429.116,367.783,1967-03-06
Epitácio Pessoa,07/03/1967,95.9,513.980.791,551.675,1967-03-07
Epitácio Pessoa,08/03/1967,95.9,513.980.791,0,1967-03-08
Epitácio Pessoa,09/03/1967,96.1,514.900.249,919.458,1967-03-09
Epitácio Pessoa,10/03/1967,96.2,515.268.032,367.783,1967-03-10
Epitácio Pessoa,11/03/1967,96.3,515.819.707,551.675,1967-03-11
Epitácio Pessoa,12/03/1967,96.6,517.290.840,1.471.133,1967-03-12
Epitácio Pessoa,13/03/1967,96.9,519.313.647,2.022.807,1967-03-13
Epitácio Pessoa,14/03/1967,97.0,519.865.322,551.675,1967-03-14
Epitácio Pessoa,15/03/1967,97.2,520.600.888,735.566,1967-03-15
Epitácio Pessoa,16/03/1967,97.3,520.968.672,367.784,1967-03-16
Epitácio Pessoa,17/03/1967,98.4,527.037.095,6.068.423,1967-03-17
Epitácio Pessoa,18/03/1967,98.9,529.795.469,2.758.374,1967-03-18
Epitácio Pessoa,19/03/1967,99.2,531.450.493,1.655.024,1967-03-19
Epitácio Pessoa,20/03/1967,99.5,532.737.734,1.287.241,1967-03-20
Epitácio Pessoa,21/03/1967,100.0,535.680.000,2.942.266,1967-03-21
Epitácio Pessoa,22/03/1967,100.0,535.680.000,0,1967-03-22
Epitácio Pessoa,23/03/1967,100.0,535.680.000,0,1967-03-23
Epitácio Pessoa,24/03/1967,100.0,535.680.000,0,1967-03-24
Epitácio Pessoa,25/03/1967,100.0,535.680.000,0,1967-03-25
Epitácio Pessoa,26/03/1967,100.0,535.680.000,0,1967-03-26
Epitácio Pessoa,27/03/1967,100.0,535.680.000,0,1967-03-27
Epitácio Pessoa,28/03/1967,100.0,535.680.000,0,1967-03-28
Epitácio Pessoa,29/03/1967,100.0,535.680.000,0,1967-03-29
Epitácio Pessoa,30/03/1967,100.0,535.680.000,0,1967-03-30
Epitácio Pessoa,31/03/1967,100.0,535.680.000,0,1967-03-31
Epitácio Pessoa,01/04/1967,100.0,535.680.000,0,1967-04-01
Epitácio Pessoa,02/04/1967,100.0,535.680.000,0,1967-04-02
Epitácio Pessoa,03/04/1967,100.0,535.680.000,0,1967-04-03
Epitácio Pessoa,04/04/1967,100.0,535.680.000,0,1967-04-04
Epitácio Pessoa,05/04/1967,100.0,535.680.000,0,1967-04-05
Epitácio Pessoa,06/04/1967,100.0,535.680.000,0,1967-04-06
Epitácio Pessoa,07/04/1967,100.0,535.680.000,0,1967-04-07
Epitácio Pessoa,08/04/1967,100.0,535.680.000,0,1967-04-08
Epitácio Pessoa,09/04/1967,100.0,535.680.000,0,1967-04-09
Epitácio Pessoa,10/04/1967,100.0,535.680.000,0,1967-04-10
Epitácio Pessoa,11/04/1967,100.0,535.680.000,0,1967-04-11
Epitácio Pessoa,12/04/1967,100.0,535.680.000,0,1967-04-12
Epitácio Pessoa,13/04/1967,100.0,535.680.000,0,1967-04-13
Epitácio Pessoa,14/04/1967,100.0,535.680.000,0,1967-04-14
Epitácio Pessoa,15/04/1967,100.0,535.680.000,0,1967-04-15
Epitácio Pessoa,16/04/1967,100.0,535.680.000,0,1967-04-16
Epitácio Pessoa,17/04/1967,100.0,535.680.000,0,1967-04-17
Epitácio Pessoa,18/04/1967,100.0,535.680.000,0,1967-04-18
Epitácio Pessoa,19/04/1967,100.0,535.680.000,0,1967-04-19
Epitácio Pessoa,20/04/1967,100.0,535.680.000,0,1967-04-20
Epitácio Pessoa,21/04/1967,100.0,535.680.000,0,1967-04-21
Epitácio Pessoa,22/04/1967,100.0,535.680.000,0,1967-04-22
Epitácio Pessoa,23/04/1967,100.0,535.680.000,0,1967-04-23
Epitácio Pessoa,24/04/1967,100.0,535.680.000,0,1967-04-24
Epitácio Pessoa,25/04/1967,98.9,529.795.469,-5.884.531,1967-04-25
Epitácio Pessoa,26/04/1967,100.0,535.680.000,5.884.531,1967-04-26
Epitácio Pessoa,27/04/1967,100.0,535.680.000,0,1967-04-27
