"CIDADE";"ESTADO";"CAPITAL";"IDHM";"IDHM_Renda";"IDHM_Longevidade";"IDHM_Educacao";"POPULACAO_ESTIMADA";"PIB";"regiao"
"Abadia De Goias";"GO";0;0.708;0.687;0.83;0.622;8583;166412;"Centro-Oeste"
"Abadia Dos Dourados";"MG";0;0.689;0.693;0.839;0.563;6972;180089;"Norte"
"Abadiania";"GO";0;0.689;0.671;0.841;0.579;19614;287984;"Centro-Oeste"
"Abaetetuba";"PA";0;0.628;0.579;0.798;0.537;156292;1249255;"Norte"
"Abaete";"MG";0;0.698;0.72;0.848;0.556;23223;430235;"Norte"
"Abaiara";"CE";0;0.628;0.54;0.748;0.612;11663;73151;"Nordeste"
"Abare";"BA";0;0.575;0.533;0.776;0.46;19814;124754;"Nordeste"
"Abatia";"PR";0;0.687;0.676;0.804;0.596;7507;165048;"Sul"
"Abaira";"BA";0;0.603;0.577;0.746;0.51;8767;64325;"Nordeste"
"Abdon Batista";"SC";0;0.694;0.66;0.812;0.625;2577;64742;"Sul"
"Abel Figueiredo";"PA";0;0.622;0.625;0.8;0.481;7382;79658;"Norte"
"Abelardo Luz";"SC";0;0.696;0.684;0.852;0.578;17847;604280;"Sul"
"Abre Campo";"MG";0;0.654;0.646;0.823;0.525;13465;187904;"Norte"
"Abreu E Lima";"PE";0;0.679;0.625;0.791;0.632;99622;1424506;"Nordeste"
"Abreulandia";"TO";0;0.665;0.7;0.835;0.502;2564;47378;"Norte"
"Acaiaca";"MG";0;0.63;0.61;0.823;0.499;3994;36424;"Norte"
"Acajutiba";"BA";0;0.582;0.56;0.723;0.487;15129;115158;"Nordeste"
"Acarape";"CE";0;0.606;0.559;0.709;0.562;15399;128391;"Nordeste"
"Acarau";"CE";0;0.601;0.554;0.758;0.517;62557;580727;"Nordeste"
"Acari";"RN";0;0.679;0.633;0.779;0.634;11152;108583;"Nordeste"
"Acara";"PA";0;0.506;0.517;0.757;0.332;55513;788416;"Norte"
"Acaua";"PI";0;0.528;0.517;0.692;0.411;7065;42603;"Nordeste"
"Acegua";"RS";0;0.687;0.703;0.852;0.541;4858;250332;"Sul"
"Acopiara";"CE";0;0.595;0.563;0.724;0.517;53931;371701;"Nordeste"
"Acorizal";"MT";0;0.628;0.594;0.816;0.51;5424;70837;"Centro-Oeste"
"Acrelandia";"AC";0;0.604;0.584;0.808;0.466;15020;227611;"Norte"
"Acreuna";"GO";0;0.686;0.71;0.822;0.553;22182;614411;"Centro-Oeste"
"Adamantina";"SP";0;0.79;0.772;0.852;0.75;35023;1152441;"Norte"
"Adelandia";"GO";0;0.702;0.664;0.836;0.622;2517;31964;"Centro-Oeste"
"Adolfo";"SP";0;0.73;0.71;0.844;0.648;3571;86466;"Norte"
"Adrianopolis";"PR";0;0.667;0.644;0.817;0.563;5983;239080;"Sul"
"Adustina";"BA";0;0.546;0.526;0.718;0.432;16784;101478;"Nordeste"
"Afogados Da Ingazeira";"PE";0;0.657;0.623;0.807;0.565;37111;385649;"Nordeste"
