OrderId,Property Id,Property Name,Parent Property Id,Parent Property Name,BBL - 10 digits,"NYC Borough, Block and Lot (BBL) self-reported",NYC Building Identification Number (BIN),Address 1 (self-reported),Address 2,Postal Code,Street Number,Street Name,Borough,DOF Gross Floor Area,Primary Property Type - Self Selected,List of All Property Use Types at Property,Largest Property Use Type,Largest Property Use Type - Gross Floor Area (ft²),2nd Largest Property Use Type,2nd Largest Property Use - Gross Floor Area (ft²),3rd Largest Property Use Type,3rd Largest Property Use Type - Gross Floor Area (ft²),Year Built,Number of Buildings - Self-reported,Occupancy,Metered Areas (Energy),Metered Areas  (Water),Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Source EUI (kBtu/ft²),Fuel Oil #1 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Diesel #2 Use (kBtu),District Steam Use (kBtu),Natural Gas Use (kBtu),Weather Normalized Site Natural Gas Use (therms),Electricity Use - Grid Purchase (kBtu),Weather Normalized Site Electricity (kWh),Total GHG Emissions (Metric Tons CO2e),Direct GHG Emissions (Metric Tons CO2e),Indirect GHG Emissions (Metric Tons CO2e),Property GFA - Self-Reported (ft²),Water Use (All Water Sources) (kgal),Water Intensity (All Water Sources) (gal/ft²),Source EUI (kBtu/ft²),Release Date,Water Required?,DOF Benchmarking Submission Status,Latitude,Longitude,Community Board,Council District,Census Tract,NTA
15,2637863,Cadman Towers,2637863,Cadman Towers,3002320001;3002380035,3002320001;3002380035,3001727;3319420,101 Clark St,aka 10 Clinton St,11201,,,,,Multifamily Housing,"Multifamily Housing, Other, Parking",Multifamily Housing,412503,Other,20000,Parking,18800,1903,2,100,Whole Building,Whole Building,32,Not Available,7.5,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,2047200,20472,11241926.1,3249755.2,1194,150.8,1043.2,432503,22061,51.01,87.9,04/28/2017 04:07:55 PM,Yes,In Compliance,,,,,,
23,4988569,- 730 Ft. Washington Ave bldg,2780056,720-730 Ft. Washington Owners Corp.,1021800628,1021800628,1064476;1803806,720-730 Ft. Washington Ave.,Not Available,10040,730,FT WASHINGTON AVENUE,Manhattan,102150,Multifamily Housing,Multifamily Housing,Multifamily Housing,116744,Not Available,Not Available,Not Available,Not Available,1939,1,100,Whole Building,Not Available,77.1,82.7,2.6,0,102.8,Not Available,Not Available,7587517.6,Not Available,Not Available,Not Available,326760.6,3301.9,1081789.4,308074.6,689,588.6,100.4,116744,Not Available,Not Available,97.7,05/01/2017 10:09:31 PM,Yes,In Compliance,40.858256,-73.934734,12,10,281,Washington Heights North                                                   
34,3129181,Benjamin: 86-02 208 St (Parent),3129181,Benjamin: 86-02 208 St (Parent),4105990100,4-10599-0100,4434653;4434656;4445475;4434654,86-02 208 St,Not Available,11427,206-09,86 ROAD,Queens,167856,Multifamily Housing,Multifamily Housing,Multifamily Housing,152308,Not Available,Not Available,Not Available,Not Available,1952,4,100,Whole Building,Whole Building,49.5,50.7,7.4,0.3,105.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3634699.8,38952.7,3900932.9,1121175.7,555.1,193.1,362,152308,Not Available,Not Available,105.5,04/26/2017 01:16:38 PM,,In Compliance,,,,,,
36,3129231,Benjamin: 209-30 86 Drive (Parent),3129231,Benjamin: 209-30 86 Drive (Parent),4105920150,4-10592-0150,4434643;4434642;4434641;4434644,209-30 86 Drive,Not Available,11427,210-10,GRND CNTRL PKWY SR E,Queens,145056,Multifamily Housing,Multifamily Housing,Multifamily Housing,152380,Not Available,Not Available,Not Available,Not Available,1952,4,100,Whole Building,Whole Building,65.3,66.8,12.4,0.2,158.7,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,3422100,37194.6,6531693.6,1892619.8,787.9,181.8,606.1,152380,Not Available,Not Available,158.2,04/26/2017 01:16:38 PM,No,In Compliance,,,,,,
39,2658438,Business Law,3612678,Columbia University (morningside),1018670042,1018670042,1085710,1125 Amsterdam Avenue,Not Available,10027,,,,,Office,Office,Office,83131,Not Available,Not Available,Not Available,Not Available,1996,1,100,Whole Building,Whole Building,0,0,0,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,0,0,0,0,0,83131,975.6,11.74,0,04/24/2017 06:52:20 PM,,In Compliance,,,,,,
42,2646962,Ruggles,3612678,Columbia University (morningside),1018850037,1018850037,1057033,508 West 114th Street,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,48608,Not Available,Not Available,Not Available,Not Available,1898,1,100,Whole Building,Not Available,16,16,4.5,0,49.1,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,27900,279,750367,219920,71.1,1.5,69.6,48608,Not Available,Not Available,49.1,04/24/2017 06:52:20 PM,,In Compliance,,,,,,
45,2746882,Hogan Hall,3612678,Columbia University (morningside),1018850061,1018850061,1057049,566 West 114th Street,Not Available,10027,2910,BROADWAY,Manhattan,52624,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,72109,Not Available,Not Available,Not Available,Not Available,1898,1,100,Whole Building,Not Available,30.4,30.4,8.6,0,93,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,85200,852,2106568.7,617399.9,200,4.5,195.5,72109,Not Available,Not Available,93,04/24/2017 06:52:20 PM,,In Compliance,40.806444,-73.96503,9,7,199,Morningside Heights                                                        
49,2658502,Carman,3612678,Columbia University (morningside),1018860001,1018860001,1082692,545 West 114th Street,Not Available,10027,,,,,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,157385,Not Available,Not Available,Not Available,Not Available,1908,1,100,Whole Building,Not Available,0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,0,0,0,157385,Not Available,Not Available,0,04/24/2017 06:52:20 PM,No,In Compliance,,,,,,
59,3114587,President's House,3612678,Columbia University (morningside),1019610001,1019610001,1083609,60 Morningside Drive,Not Available,10027,1145,AMSTERDAM AVENUE,Manhattan,710600,Office,Office,Office,16803,Not Available,Not Available,Not Available,Not Available,1950,1,100,Whole Building,Not Available,0,0,Not Available,0,0,Not Available,Not Available,Not Available,Not Available,Not Available,Not Available,0,0,Not Available,Not Available,0,0,0,16803,Not Available,Not Available,0,04/24/2017 06:52:20 PM,No,In Compliance,40.80709,-73.960847,9,7,20101,Morningside Heights                                                        
94,2809829,445 Riverside Drive,3612678,Columbia University (morningside),1019900067,1019900067,1059834,445-8 Riverside Drive,Not Available,10027,445,RIVERSIDE DRIVE,Manhattan,55056,Residence Hall/Dormitory,Residence Hall/Dormitory,Residence Hall/Dormitory,57903,Not Available,Not Available,Not Available,Not Available,1932,1,100,Whole Building,Whole Building,11.4,11.4,0,0.1,11.9,Not Available,Not Available,Not Available,0,Not Available,Not Available,657600,6576,0,0,34.9,34.9,0,57903,Not Available,Not Available,11.9,04/24/2017 06:52:20 PM,Yes,In Compliance,40.80912,-73.965599,9,7,205,Morningside Heights                                                        
